fecha	cp	minsplit	minbucket	maxdepth	feature_fraction	num_trees	xval_folds	ganancia
20210915 005412	-0.188434196273253	4586	410	11	0.582679102313705	27	5	2858750
20210915 013652	-0.164538046175342	4074	772	16	0.551113946316764	82	5	5365000
20210915 015751	-0.645864606416823	5551	1899	14	0.36926948686596	88	5	2772500
20210915 020246	-0.679518326912269	3760	688	11	0.197534260161531	36	5	118750
20210915 021917	-0.253796223736329	3015	119	7	0.63650785611632	50	5	3008750
20210915 023305	-0.924196782704288	7022	1751	12	0.854883152005884	26	5	2315000
20210915 030544	-0.494332196402441	6117	177	17	0.44092483309408	88	5	2201250
20210915 031015	-0.363360485411249	6615	598	8	0.111618867198316	68	5	647500
20210915 033212	-0.595673138170969	7810	859	5	0.609555119896928	93	5	2637500
20210915 033350	-0.496191958964725	4898	1487	19	0.162421231670305	15	5	2245000
20210915 034626	-0.0111610343776798	2782	458	15	0.263003882719204	61	5	1625000
20210915 043309	-0.788108151193592	5190	1036	15	0.885426158970222	76	5	2568750
20210915 045434	0.0725459821172991	5731	1284	20	0.708646602610437	97	5	0
20210915 045601	-0.72756070199636	6810	552	5	0.303122932378513	12	5	1652500
20210915 050300	0.0234475885129846	7664	63	9	0.827220011665486	21	5	0
20210915 052229	-0.878404969522186	816	285	19	0.364505494564461	57	5	2358750
20210915 053310	0.0687237526959508	3979	760	19	0.647403651452623	52	5	0
20210915 054921	-0.987319993469282	7274	1282	6	0.381420427188277	92	5	2696250
20210915 060053	-0.213247188914102	6651	1515	14	0.464610502868891	38	5	2208750
20210915 060107	-0.6362697542354	4052	46	3	0.152977382135578	5	5	-530000
20210915 061420	-0.751704790812801	5061	1076	12	0.267099427012727	74	5	1998750
20210915 061935	-0.157610956439748	4709	805	5	0.151735762382547	79	5	2338750
20210915 062640	-0.656128882290795	886	171	10	0.640233357809484	16	5	2235000
20210915 064528	-0.377664793197376	5579	1889	18	0.542446285982927	54	5	2496250
20210915 072722	-0.163130646340239	3033	828	18	0.556105872287744	100	5	2910000
20210915 075828	-0.175284894959658	4073	1183	18	0.540181167035067	81	5	2927500
20210915 083221	-0.326431333637028	2769	982	16	0.548926389680745	83	5	3205000
