Feature	Gain	Cover	Frequency
ctrx_quarter	0.217353960223183	0.0263549898687192	0.028152260111023
cpayroll_trx	0.0623391293116276	0.0160719939190091	0.00607983082209886
mcuentas_saldo	0.0576519036506196	0.0260891291768485	0.0359503039915411
mtarjeta_visa_consumo	0.0377553999532054	0.0189745542192181	0.0166534496431404
mcaja_ahorro	0.0316612934353366	0.0175274784431861	0.0235263018768173
mrentabilidad_annual	0.025778367765884	0.0249766676296462	0.0321173671689136
Visa_mpagominimo	0.0210775269119543	0.0226383935547567	0.0249801744647105
mactivos_margen	0.0210609737118811	0.0212861360893965	0.0215437483478721
mprestamos_personales	0.0197421758841594	0.0210731437889307	0.0091197462331483
ctarjeta_visa_transacciones	0.0191917505944356	0.0132908034019965	0.0170499603489294
Master_fechaalta	0.0188144390318191	0.0202418534227249	0.0326460481099656
cliente_edad	0.018760807031407	0.0307083582798237	0.0371398361089083
Visa_fechaalta	0.0179255167686583	0.0180793890318529	0.0274914089347079
mpasivos_margen	0.0172446365241943	0.0139366615209311	0.0192968543484007
Visa_status	0.0168646792390504	0.0141596194193553	0.00409727729315358
Master_Fvencimiento	0.0162543098833972	0.0157335535338582	0.0309278350515464
chomebanking_transacciones	0.0161320180183149	0.0185291632361486	0.0277557494052339
numero_de_cliente	0.0160159011113235	0.0217354939609737	0.0302669838752313
Visa_Fvencimiento	0.0152421158740496	0.0228839419010389	0.0294739624636532
mcuenta_corriente	0.0149270039574768	0.0213050088619937	0.0232619614062913
mpayroll	0.0146260051291605	0.022052836245828	0.0108379592915675
mrentabilidad	0.0137902860982073	0.0180888503394762	0.0232619614062913
Visa_mpagospesos	0.0121865038226916	0.021616642697532	0.0232619614062913
mtransferencias_recibidas	0.0116425647066666	0.0179541872284943	0.0207507269362939
cproductos	0.010271242282145	0.00996337556258644	0.00885540576262226
mcaja_ahorro_dolares	0.0101503340582452	0.0118226412533501	0.0167856198784034
cliente_antiguedad	0.0101173574477552	0.0143517745604537	0.0223367697594502
Master_mfinanciacion_limite	0.0101128408561892	0.0123399727710193	0.0191646841131377
Visa_mconsumosdolares	0.00995378380169828	0.0134716911724112	0.0192968543484007
Visa_mconsumospesos	0.00927787247828585	0.0150183584257747	0.0190325138778747
Visa_msaldototal	0.00914120626939484	0.010167522258745	0.014274385408406
mcomisiones_mantenimiento	0.00870286507548482	0.0117889740096443	0.0125561723499868
Visa_cconsumos	0.00679916542192715	0.0162130398210342	0.0150674068199841
mtransferencias_emitidas	0.00663157268249124	0.0191029166329325	0.0181073222310336
mcomisiones	0.00647602168810749	0.00492231345818206	0.00978059740946339
Visa_mfinanciacion_limite	0.00641351969697063	0.00606704372298649	0.0116309807031457
mcuenta_debitos_automaticos	0.00633815641917327	0.011235952223088	0.0084588950568332
Master_mlimitecompra	0.00614674508752167	0.00827797276059336	0.0091197462331483
ccomisiones_mantenimiento	0.00592683733274848	0.00971659287775162	0.00462595823420566
mttarjeta_visa_debitos_automaticos	0.0056180793734705	0.00798430573420155	0.0107057890563045
ctarjeta_debito_transacciones	0.00543667044533281	0.0112174664640037	0.0120274914089347
mautoservicio	0.00538404893791064	0.00844259716770259	0.00964842717420037
mcomisiones_otras	0.00535077243407345	0.00561899641989632	0.0108379592915675
thomebanking	0.00523567548533432	0.00189765625847966	0.00317208564631245
cprestamos_personales	0.00507593555479636	0.0105969225471205	0.00330425588157547
Visa_msaldopesos	0.00490392890582962	0.00885964527478988	0.0125561723499868
Visa_mlimitecompra	0.00489077787038264	0.00791467848491786	0.00885540576262226
tcallcenter	0.00460715511634472	0.00248483491947401	0.00145387258789321
ctransferencias_recibidas	0.00458324617877319	0.00747232203962032	0.00885540576262226
ccomisiones_otras	0.00431355624966754	0.00518346548564528	0.00700502246894
ctransferencias_emitidas	0.00416379172598134	0.0144037516480106	0.0112344699973566
Master_msaldopesos	0.00407077943781134	0.00932701393432185	0.00515463917525773
Master_mpagospesos	0.00406368739720282	0.0118616827074288	0.00859106529209622
mpagomiscuentas	0.00395629250064471	0.0130978390508257	0.00819455458630717
Master_status	0.00366615150733943	0.00312040786110995	0.000660851176315094
ccallcenter_transacciones	0.00344450745427771	0.00717158908469668	0.00251123446999736
