fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia
20210918 170011	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	395	TRUE	0.0786706247557521	0.807014750962146	9750	1956	0.0499692878926001	8422500
20210918 170224	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	184	TRUE	0.0291679285564004	0.911892902767664	15725	1553	0.0469122650384677	7851250
20210918 170457	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	234	TRUE	0.0408177466833411	0.465038545229821	7405	918	0.0487711121054937	8206250
20210918 171231	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	957	TRUE	0.0156949494694076	0.185980384521448	5092	2300	0.0486952420751453	8167500
20210918 171446	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	242	TRUE	0.0563553679053926	0.295726239228534	7943	2239	0.0491622833226129	8183750
20210918 171727	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	329	TRUE	0.0690512825871199	0.33965492482952	11215	266	0.0514554155878697	8126250
20210918 171853	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	105	TRUE	0.0495634859216627	0.814020459722058	11385	1778	0.0462682428878053	8106250
20210918 172041	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	123	TRUE	0.0548125538134101	0.661100038412405	2349	2955	0.0461282176593201	8587500
20210918 175957	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	3033	TRUE	0.0012666281752268	0.968192707886687	6616	974	0.0436107474312462	8081250
20210918 180151	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	228	TRUE	0.0978143529639664	0.61818229207382	12947	2464	0.0506215767364016	8200000
20210918 180306	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	0.0853375081606454	0.115076686407818	1504	578	0.0430079921128815	8005000
20210918 181548	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1538	TRUE	0.00872946397539068	0.242399486098351	4381	1254	0.0471574493961693	8461250
20210918 182247	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	898	TRUE	0.0238345224879122	0.523947509742109	13536	727	0.050033796904479	8156250
20210918 182707	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	531	TRUE	0.034675429470745	0.430762625813542	16017	2816	0.0495564312172622	8081250
20210918 182957	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	475	TRUE	0.0930327758642381	0.0114397184439877	17648	157	0.0466190194399805	7436250
20210918 183303	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	198	TRUE	0.065961616601023	0.705703002897644	254	1516	0.0193450213778841	7666250
20210918 183622	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	266	TRUE	0.030576696047327	0.616850343666234	3046	2865	0.0439688594295438	8710000
20210918 183805	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	167	TRUE	0.0797632470621775	0.848487650375566	3338	2718	0.0470723494714687	8363750
20210918 185242	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1654	TRUE	0.00811029389325834	0.378366779350519	2758	2932	0.0409896779534068	8626250
20210918 185520	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	188	TRUE	0.0277246490796784	0.660959284055103	2947	1527	0.044994726970596	8681250
20210918 185853	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	440	TRUE	0.0353769782889336	0.0984293996497405	2981	2326	0.0526887114412586	8452500
20210918 190747	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	900	TRUE	0.00996768733837575	0.680777408221525	2874	2916	0.0435106700877448	8536250
20210918 191120	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	354	TRUE	0.0362374678129226	0.48367968296433	3108	1475	0.0436767341061765	8596250
20210918 191410	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	213	TRUE	0.0304328145515332	0.538521840256168	2678	2819	0.0427767505641879	8477500
20210918 191554	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	128	TRUE	0.0495878562990293	0.649268767527392	3098	2246	0.0473989906862201	8400000
20210918 192000	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	336	TRUE	0.0256936771478424	0.557645919843421	3333	2237	0.0455608834260078	8775000
20210918 192352	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	309	TRUE	0.019525038777137	0.386540900025161	3160	1941	0.0437354316273267	8647500
20210918 192843	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	502	TRUE	0.029250689411043	0.874766808709423	3396	2035	0.0439745006565712	8815000
20210918 193242	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	417	TRUE	0.0276902249763446	0.996842298989495	3279	2386	0.0437243108645341	8662500
20210918 193619	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	384	TRUE	0.030103516331953	0.72821419303964	3533	1910	0.0448159778895903	8776250
20210918 194013	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	429	TRUE	0.0291619850805307	0.814982945049141	3355	176	0.045127552566434	8796250
20210918 194359	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	401	TRUE	0.0291042905452083	0.778273472394982	3357	1263	0.0438306050268842	8673750
20210918 194507	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	338	TRUE	0.029945328279986	0.883784642824281	3629	34	0.0434133806441093	8682500
20210918 194835	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	329	TRUE	0.0333675562024682	0.800188892802864	3739	2925	0.0459414141920807	8952500
20210918 195225	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	366	TRUE	0.0292704949436451	0.843973869324386	3628	3013	0.0438795877723187	9005000
20210918 195634	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	429	TRUE	0.0241712436991272	0.846868733401723	3780	3022	0.0446157427609944	8852500
20210918 200032	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	417	TRUE	0.0291237798966451	0.612039127322608	3847	2883	0.0441843350521114	8711250
20210918 200300	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	210	TRUE	0.0354735935148173	0.833616574458632	3581	2983	0.045748923576067	8458750
20210918 200625	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	356	TRUE	0.0315710522148328	0.816613115738174	3948	3019	0.046171531483775	8588750
20210918 200806	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	146	TRUE	0.0787944150173951	0.684990910315548	1902	1709	0.0449896785727951	8548750
20210918 200953	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	209	TRUE	0.0977639563525749	0.706836725896742	7114	2568	0.0469439747451026	8402500
20210918 201424	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	571	TRUE	0.03483841865138	0.374852055980664	14277	657	0.0511796995252527	8142500
20210918 201550	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	147	TRUE	0.0717748387925592	0.971303452706007	17690	1692	0.0494975913930675	8242500
20210918 202033	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	656	TRUE	0.0291093339401687	0.742749998627861	13156	2607	0.049080003396791	8225000
20210918 202522	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	763	TRUE	0.032160262020767	0.0213243164952686	17235	820	0.0433155799087451	7525000
20210918 202742	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	307	TRUE	0.0995912509098311	0.622836344588999	8346	898	0.0460988525695853	8406250
20210918 202947	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	258	TRUE	0.0862515788818376	0.158751727033568	9908	2097	0.0507073109092692	7951250
20210918 203134	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	160	TRUE	0.0786344073870895	0.42823207463441	5050	2713	0.0463457012962971	8577500
20210918 203343	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	246	TRUE	0.0850294051441544	0.302923452310389	5946	2266	0.050269023245003	8035000
20210918 203836	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	430	TRUE	0.0124578512857337	0.648836887286446	9800	594	0.0462820586985966	8137500
20210918 203951	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	97	TRUE	0.099905299998589	0.479170202443795	7241	287	0.0476092456388273	8112500
20210918 204114	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	100	TRUE	0.0547298454858002	0.960550371384281	8688	2352	0.0474146987379678	8288750
20210918 205305	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1478	TRUE	0.0127782842433281	0.314032491639027	6433	2129	0.0459083610291442	8540000
20210918 205516	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	187	TRUE	0.0852174059621211	0.59011467821787	5089	2111	0.045780922750227	8440000
20210918 205621	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1	TRUE	0.0472773662070596	0.00477204769587889	9162	2938	0.640027240257245	42500
20210918 205710	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	341	TRUE	0.050553971562976	0.904784874875762	1880	20	0.0451526521244352	8868750
20210918 205813	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	473	TRUE	0.0337158196688444	0.684622061374294	307	24	0.0432327131229247	8298750
20210918 210123	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	273	TRUE	0.0576171811609076	0.580902254076782	5542	83	0.0479956187453658	8281250
20210918 210312	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	886	TRUE	0.0224834271325125	0.667475676788746	1978	17	0.0453100019819757	8845000
20210918 210558	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	160	TRUE	0.0339622228252539	0.647184548526043	7218	2165	0.0457439192062799	8228750
20210918 210654	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	313	TRUE	0.0411886788266914	0.736388149211047	3032	30	0.0488313387999837	8682500
20210918 211011	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	170	TRUE	0.0499011634614028	0.997540498391525	21	2376	0.00498736660527407	6937500
20210918 211118	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	135	TRUE	0.051576519939467	0.708029723339159	3621	83	0.0463581938162874	8503750
20210918 211216	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	132	TRUE	0.0593071215334223	0.616074809397554	13112	2861	0.0473878776220191	8045000
20210918 212058	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	474	TRUE	0.0255098211535178	0.735052218636505	56	3022	0.00564469932742912	8167500
20210918 212253	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	734	TRUE	0.0240845731747754	0.650021747911708	5079	24	0.0438755019255954	8517500
20210918 212639	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	592	TRUE	0.0179634903212337	0.862114629525199	2696	182	0.0438796870119033	8673750
20210918 212823	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	241	TRUE	0.0129591472645951	0.462019504109366	270	52	0.0395031861994201	8560000
20210918 213127	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	491	TRUE	0.0208458636247205	0.659445862677072	3328	2934	0.0444268879570712	8671250
