numero_de_cliente	cluster2
4572841	1
4576124	2
4579001	3
4579372	4
4579843	5
4581794	2
4589554	5
4595212	6
4597311	6
4597851	5
4603880	5
4604458	5
4606365	5
4609795	4
4621140	6
4622475	6
4622484	5
4625139	6
4631780	5
4638387	5
4651751	5
4657425	5
4659863	1
4673774	2
4673799	1
4692840	1
4694128	1
4694618	5
4699139	5
4700691	3
4704480	5
4704876	1
4717992	5
4719233	6
4721102	4
4721391	3
4722798	1
4725123	5
4725525	7
4735110	5
4738500	5
4741079	6
4747868	2
4756580	6
4765260	1
4789670	3
4794191	5
4798734	7
4799227	5
4803286	1
4807320	3
4808124	5
4817467	1
4831425	6
4831686	6
4833329	6
4850900	4
4854626	7
4855075	5
4868323	1
4873988	3
4884942	4
4887154	4
4900924	1
4902504	5
4904015	6
4904298	6
4905689	1
4910574	6
4914926	6
4918102	1
4922340	5
4927178	7
4934111	6
4940897	5
4945245	5
4949068	5
4950476	2
4953068	5
4953655	6
4955198	5
4956024	1
4960997	6
4961625	5
4963815	5
4967183	6
4970425	6
4970613	3
4984207	5
4985712	6
4987330	5
4988181	6
4993651	3
4999610	6
5006996	5
5009641	5
5012302	5
5013795	5
5015174	1
5019113	5
5023232	5
5044353	6
5044362	6
5047268	5
5050284	5
5058986	5
5064644	5
5066316	6
5067714	5
5071547	5
5076020	6
5086155	4
5102837	6
5108818	1
5109839	6
5111574	6
5112161	5
5112554	1
5122349	6
5129575	5
5132877	1
5133251	5
5140740	6
5146863	5
5147008	6
5153467	1
5153941	6
5161167	1
5167937	5
5169680	3
5170010	6
5170114	6
5170925	5
5173202	6
5178609	6
5179287	3
5182954	6
5183447	6
5194348	6
5198957	6
5199513	6
5200248	5
5204546	6
5225485	5
5232189	1
5232723	2
5237900	4
5246737	5
5247221	2
5247909	6
5252829	4
5264183	5
5267393	6
5274352	6
5274698	5
5277318	6
5292237	6
5292523	6
5297066	6
5301376	7
5303073	1
5303682	1
5306399	6
5307018	6
5310722	6
5311715	5
5321969	2
5326851	5
5329273	6
5333226	5
5343907	1
5347422	5
5359228	5
5360900	6
5372313	3
5382008	1
5382684	6
5390217	4
5390626	3
5403845	5
5407590	5
5409745	1
5419905	6
5425777	5
5429745	1
5430574	1
5432186	5
5435817	5
5442531	4
5445431	5
5447071	6
5448855	6
5458145	5
5459103	1
5468917	6
5469486	5
5475992	5
5489605	1
5494832	5
5495281	2
5499856	5
5501800	6
5504471	5
5506268	6
5506334	5
5515262	1
5517094	5
5517367	1
5518275	3
5527345	6
5529610	3
5542474	5
5546848	6
5552455	5
5559119	5
5559392	7
5562370	6
5562402	5
5566919	5
5570997	5
5576397	6
5583397	7
5584248	1
5589137	5
5597562	6
5602809	1
5603503	7
5605482	6
5610147	6
5610490	6
5612742	4
5614448	5
5623512	5
5626732	6
5629493	5
5636009	5
5637690	5
5639223	1
5650504	1
5651855	1
5661019	1
5661811	5
5663705	1
5666483	5
5667353	4
5676821	6
5686014	6
5686881	6
5690220	1
5692438	1
5702639	6
5717753	5
5719051	1
5721030	6
5725623	5
5727583	6
5738981	7
5749659	6
5751478	6
5753206	1
5758044	5
5762797	6
5766269	4
5767042	6
5767667	5
5768245	1
5774192	7
5778135	5
5785455	1
5789617	1
5792504	5
5793896	6
5793940	5
5795288	5
5797019	6
5801932	5
5805900	5
5806104	1
5816748	6
5818818	6
5822120	6
5828117	1
5836245	3
5839722	6
5843807	5
5844897	5
5852132	3
5863495	5
5865917	4
5869442	6
5877265	6
5880111	6
5880284	3
5881858	3
5898502	1
5908674	3
5909513	6
5927436	1
5927445	1
5929409	3
5933106	5
5938438	5
5955358	5
5961996	5
5974475	1
5975087	5
5975772	4
5976520	6
6000798	1
6001247	2
6002592	1
6006626	6
6014829	1
6018495	5
6020286	5
6021903	5
6023606	5
6024200	5
6027681	6
6028290	3
6032123	5
6033889	7
6035271	5
6035327	5
6036923	5
6038579	6
6040159	5
6041309	7
6044218	5
6048899	5
6052151	6
6054237	1
6054419	6
6061729	7
6070020	6
6073730	6
6084151	5
6085009	6
6085285	6
6089225	5
6089498	5
6092991	4
6095300	4
6096205	5
6096435	4
6099793	5
6100239	3
6103246	5
6116371	5
6116808	1
6119290	1
6120581	5
6121011	6
6123342	2
6123562	6
6127119	5
6134209	6
6137970	5
6143065	6
6144378	6
6154469	5
6154482	5
6158157	5
6158977	6
6168698	1
6176988	1
6178301	4
6184497	5
6186715	5
6191138	1
6200139	6
6202215	6
6203868	5
6205919	1
6206133	5
6210889	1
6211395	6
6217804	5
6220267	4
6222004	5
6222284	7
6222491	1
6227964	5
6229717	3
6230807	3
6236286	3
6236983	5
6239804	7
6241268	6
6242176	2
6244159	6
6244799	5
6244982	5
6250778	6
6252232	5
6260881	5
6263074	5
6264199	6
6268449	5
6272973	3
6278851	5
6279489	6
6281452	4
6281914	6
6292316	5
6293544	3
6294924	5
6295919	1
6297079	1
6304644	6
6310921	6
6314317	6
6314964	5
6318806	5
6331602	1
6336562	3
6342283	6
6347837	5
6372700	5
6376121	6
6378782	1
6379731	5
6385926	5
6391713	6
6394239	5
6398373	2
6399347	6
6399944	1
6402668	6
6405932	5
6409227	3
6410075	7
6422758	6
6426182	5
6426566	5
6429736	5
6435504	7
6439770	6
6446000	1
6450153	7
6463517	3
6468434	3
6473608	4
6475590	1
6477359	1
6480369	4
6488395	5
6490557	5
6490610	6
6490946	7
6491867	3
6494886	7
6495920	6
6496444	2
6506469	1
6510032	6
6510217	6
6510613	5
6513575	5
6514059	5
6516283	5
6530710	5
6531404	5
6543681	5
6550300	5
6552006	1
6554407	2
6562063	5
6566731	6
6568377	1
6569756	5
6569781	5
6576649	6
6577240	5
6589077	6
6591085	5
6591678	5
6603268	6
6606940	2
6608464	6
6614172	3
6622614	5
6625875	6
6652233	5
6653068	4
6654212	5
6654435	6
6656386	5
6659285	6
6661334	2
6673938	6
6674638	6
6677482	2
6679492	1
6684619	5
6697647	3
6700465	5
6701348	6
6708759	5
6715580	2
6716393	5
6719544	1
6722413	5
6732736	1
6733235	1
6737276	1
6737587	3
6737857	4
6742852	1
6745378	1
6745748	5
6752358	6
6757994	5
6768858	7
6778028	6
6783777	3
6796535	5
6796557	3
6797167	5
6797453	7
6814169	1
6824835	5
6827402	5
6850059	6
6852638	7
6866580	5
6870357	4
6870821	6
6874629	5
6879558	3
6885131	5
6885144	5
6889055	5
6903610	7
6903799	6
6916525	4
6917166	6
6924153	4
6929082	5
6942277	6
6950649	4
6960878	3
6973156	1
6977466	1
6980435	5
6990783	1
7015432	6
7017587	5
7017650	3
7024738	6
7024860	6
7026029	5
7034709	5
7035617	5
7036456	6
7040643	7
7041196	5
7048585	5
7052274	5
7054645	3
7057046	1
7066599	3
7067674	6
7072842	5
7077918	5
7083375	6
7084343	6
7084739	5
7091971	5
7096535	5
7097321	5
7106290	4
7107635	5
7108580	5
7113811	1
7118734	6
7124464	6
7124719	1
7128976	1
7135988	5
7136512	5
7138328	6
7140053	4
7140826	1
7152387	4
7156084	6
7160847	5
7168208	3
7170297	5
7170715	5
7177032	5
7183620	5
7184173	6
7187865	5
7188305	3
7192414	2
7196036	5
7199800	5
7206105	1
7206626	6
7229893	6
7242456	6
7245079	7
7247919	1
7256776	6
7264771	5
7267115	5
7268497	1
7278449	2
7279474	5
7286492	6
7288550	5
7299134	1
7303328	5
7304650	1
7308913	1
7310654	6
7319058	2
7334477	5
7335746	6
7345152	5
7346179	5
7350998	5
7355799	3
7361953	5
7366961	2
7367909	4
7370030	3
7382876	7
7385612	1
7385782	4
7388465	1
7389621	5
7392282	6
7400469	7
7411631	5
7413569	5
7414908	5
7425953	1
7426117	5
7433826	5
7449531	6
7451642	6
7455695	1
7456788	1
7467548	2
7469826	2
7472223	5
7477941	3
7480934	5
7490199	5
7493545	2
7499319	5
7501719	6
7503117	5
7505715	1
7507547	4
7511053	6
7523412	4
7527791	5
7533327	5
7536883	5
7542130	1
7543402	4
7543930	1
7547128	5
7551093	6
7561953	7
7565754	6
7589926	6
7594057	5
7594588	1
7600280	6
7611518	6
7615637	1
7626076	6
7629343	5
7635692	1
7640820	6
7642862	5
7646342	6
7653339	6
7653813	3
7655817	6
7665346	6
7669732	7
7675616	6
7679662	5
7685628	3
7694783	4
7697082	5
7701569	6
7707808	6
7708160	6
7717732	6
7736151	5
7739214	5
7743930	7
7745196	5
7758073	5
7758639	1
7759471	6
7768057	5
7768733	5
7768799	6
7774064	5
7774739	5
7781588	1
7783046	6
7783486	6
7797054	5
7805071	5
7810601	5
7814487	4
7816689	7
7818247	2
7822441	5
7829692	5
7830745	7
7833933	5
7835966	6
7841068	5
7849930	5
7856314	2
7862676	3
7866687	6
7869273	1
7870809	5
7883099	3
7886090	5
7887538	6
7890224	1
7894101	5
7896407	5
7905348	5
7911911	6
7913306	1
7923751	1
7926192	6
7926635	5
7931100	1
7940911	6
7946220	5
7960715	5
7964966	5
7965132	4
7966370	1
7967152	5
7974900	5
7976964	5
7978236	6
7978651	1
7981946	7
7983746	6
7985603	5
7994915	2
7995047	6
8003422	5
8006020	5
8013752	6
8018046	5
8019246	5
8020409	5
8030342	1
8036283	3
8036846	6
8045183	1
8050263	3
8051969	5
8053044	2
8063794	4
8070439	5
8071749	5
8073062	3
8075921	5
8082967	2
8087579	4
8093181	4
8095722	1
8111160	6
8113431	5
8133874	6
8137797	1
8140992	1
8144879	5
8149022	6
8150895	6
8154074	5
8172902	5
8177253	3
8177806	1
8178308	5
8179578	6
8186992	6
8190561	5
8199671	6
8205951	5
8207541	4
8230845	6
8233311	5
8235448	6
8242193	5
8243606	6
8243939	5
8246949	3
8247103	5
8255306	5
8256556	5
8260254	5
8262547	5
8266285	4
8268802	6
8275286	3
8285594	5
8301057	4
8305427	6
8309938	6
8321719	6
8324779	6
8328599	5
8334634	1
8340424	6
8341514	5
8344357	5
8355648	5
8363907	6
8373587	5
8375767	6
8375852	2
8382647	1
8396159	5
8396910	5
8404110	3
8408119	6
8409583	5
8414638	5
8420359	5
8427770	3
8428087	7
8431888	2
8437452	4
8438489	6
8458469	5
8461737	6
8464708	6
8468123	5
8468362	5
8473533	5
8474708	5
8475428	5
8496467	6
8499370	6
8510271	6
8524779	5
8525473	1
8532928	1
8540097	5
8543597	3
8559380	3
8565287	5
8565312	5
8566725	6
8578896	5
8580153	5
8595173	6
8602741	2
8614459	5
8622743	4
8630848	1
8635690	6
8637000	3
8650527	1
8651844	5
8652108	6
8653345	1
8656968	5
8659314	2
8659704	5
8666301	6
8666659	6
8673580	1
8682481	5
8686257	3
8702847	4
8703297	5
8707010	6
8708801	1
8711317	6
8720409	5
8720711	7
8723783	6
8726504	5
8727534	6
8727921	5
8735316	5
8742834	3
8747229	6
8756302	6
8764881	4
8767329	5
8769609	4
8769974	3
8774089	5
8779763	5
8785732	5
8786263	5
8786819	6
8790234	1
8792188	4
8792311	6
8796753	6
8812222	7
8820632	5
8828854	1
8830739	6
8838413	5
8844015	3
8846786	5
8853641	2
8863644	1
8871755	5
8874061	4
8878133	5
8879260	5
8880778	2
8887130	3
8893187	4
8894139	5
8898072	5
8900356	5
8906240	6
8907623	6
8910937	5
8916165	5
8931408	6
8941445	6
8946594	5
8958573	5
8959195	6
8961300	1
8963320	6
8963719	6
8976612	5
8984717	1
8985867	5
8988827	6
8995141	6
8998804	5
9005235	6
9006300	5
9028068	6
9030547	1
9033824	5
9034524	5
9048401	1
9056383	5
9058881	2
9063018	3
9063716	5
9065177	1
9078305	2
9079232	1
9080181	6
9081463	1
9089411	5
9092172	6
9093608	6
9099756	1
9105176	6
9107098	5
9108905	4
9112800	5
9114544	6
9125285	6
9125665	5
9140760	5
9145561	5
9150716	5
9156506	6
9157829	5
9164074	4
9169229	5
9173951	6
9178755	4
9187542	6
9192581	5
9195349	5
9195971	5
9201566	5
9202446	6
9209979	5
9334845	6
9463235	4
9508826	1
9730667	5
9748712	5
10210143	3
10227833	4
10525182	1
10607281	2
10806599	5
10912553	1
11282796	1
11351175	5
11454311	5
11892880	3
11974147	6
12179802	5
12243771	2
12404649	4
12410147	6
12410345	5
12411689	5
12418060	5
12419260	5
12426310	1
12428811	5
12434726	6
12440843	6
12453221	6
12458581	5
12464920	1
12465932	6
12468973	5
12469322	6
12471580	5
12485325	2
12485664	6
12487631	6
12495300	5
12500417	4
12500961	1
12505236	5
12515578	4
12531764	5
12536291	3
12537061	6
12542185	6
12545901	5
12545980	5
12550576	5
12558172	6
12562677	5
12563987	5
12566105	1
12572897	5
12575605	5
12579692	6
12586450	4
12587556	5
12587775	5
12590493	5
12591982	6
12601083	1
12601360	5
12610948	1
12618183	6
12621648	6
12628858	5
12630250	5
12631783	2
12636875	3
12638437	4
12668549	4
12680298	4
12696079	5
12697024	5
12701237	5
12701997	1
12702572	5
12707313	5
12708937	4
12734965	5
12753199	7
12758270	4
12762344	1
12769096	5
12782702	6
12795262	3
12805984	5
12833404	5
12834774	1
12838192	6
12838669	6
12839207	1
12839829	7
12843818	6
12852753	1
12853658	6
12855178	4
12856913	6
12860818	1
12876211	5
12978109	1
12995381	6
13015733	7
13020860	7
13023219	4
13026904	5
13040997	6
13041198	4
13042474	6
13045948	5
13050761	6
13060422	5
13066454	6
13068427	6
13083883	5
13107630	4
13108963	6
13109481	6
13109625	5
13109723	7
13112902	6
13114643	6
13120857	5
13123923	2
13126555	2
13130011	6
13130539	5
13133404	4
13140347	2
13150975	6
13153856	5
13162109	5
13175743	5
13187081	5
13197926	7
13215230	6
13216386	1
13217790	5
13229571	3
13234526	5
13237648	5
13246043	5
13247422	6
13258433	5
13264877	1
13273563	5
13282551	5
13285372	5
13290135	5
13300556	5
13301922	5
13303185	6
13305812	6
13311994	1
13312575	6
13313128	1
13331158	6
