numero_de_cliente,foto_mes,active_quarter,cliente_vip,internet,cliente_edad,cliente_antiguedad,mrentabilidad,mrentabilidad_annual,mcomisiones,mactivos_margen,mpasivos_margen,cproductos,tpaquete1,tpaquete2,tpaquete3,tpaquete4,tcuentas,ccuenta_corriente,mcuenta_corriente_adicional,mcuenta_corriente,ccaja_ahorro,mcaja_ahorro,mcaja_ahorro_adicional,mcaja_ahorro_dolares,mdescubierto_preacordado,mcuentas_saldo,ctarjeta_debito,ctarjeta_debito_transacciones,mautoservicio,ctarjeta_visa,ctarjeta_visa_transacciones,mtarjeta_visa_consumo,ctarjeta_master,ctarjeta_master_transacciones,mtarjeta_master_consumo,cprestamos_personales,mprestamos_personales,cprestamos_prendarios,mprestamos_prendarios,cprestamos_hipotecarios,mprestamos_hipotecarios,cplazo_fijo,mplazo_fijo_dolares,mplazo_fijo_pesos,cinversion1,minversion1_pesos,minversion1_dolares,cinversion2,minversion2,cseguro_vida,cseguro_auto,cseguro_vivienda,cseguro_accidentes_personales,ccaja_seguridad,cpayroll_trx,mpayroll,mpayroll2,cpayroll2_trx,ccuenta_debitos_automaticos,mcuenta_debitos_automaticos,ctarjeta_visa_debitos_automaticos,mttarjeta_visa_debitos_automaticos,ctarjeta_master_debitos_automaticos,mttarjeta_master_debitos_automaticos,cpagodeservicios,mpagodeservicios,cpagomiscuentas,mpagomiscuentas,ccajeros_propios_descuentos,mcajeros_propios_descuentos,ctarjeta_visa_descuentos,mtarjeta_visa_descuentos,ctarjeta_master_descuentos,mtarjeta_master_descuentos,ccomisiones_mantenimiento,mcomisiones_mantenimiento,ccomisiones_otras,mcomisiones_otras,cforex,cforex_buy,mforex_buy,cforex_sell,mforex_sell,ctransferencias_recibidas,mtransferencias_recibidas,ctransferencias_emitidas,mtransferencias_emitidas,cextraccion_autoservicio,mextraccion_autoservicio,ccheques_depositados,mcheques_depositados,ccheques_emitidos,mcheques_emitidos,ccheques_depositados_rechazados,mcheques_depositados_rechazados,ccheques_emitidos_rechazados,mcheques_emitidos_rechazados,tcallcenter,ccallcenter_transacciones,thomebanking,chomebanking_transacciones,ccajas_transacciones,ccajas_consultas,ccajas_depositos,ccajas_extracciones,ccajas_otras,catm_trx,matm,catm_trx_other,matm_other,ctrx_quarter,tmobile_app,cmobile_app_trx,Master_delinquency,Master_status,Master_mfinanciacion_limite,Master_Fvencimiento,Master_Finiciomora,Master_msaldototal,Master_msaldopesos,Master_msaldodolares,Master_mconsumospesos,Master_mconsumosdolares,Master_mlimitecompra,Master_madelantopesos,Master_madelantodolares,Master_fultimo_cierre,Master_mpagado,Master_mpagospesos,Master_mpagosdolares,Master_fechaalta,Master_mconsumototal,Master_cconsumos,Master_cadelantosefectivo,Master_mpagominimo,Visa_delinquency,Visa_status,Visa_mfinanciacion_limite,Visa_Fvencimiento,Visa_Finiciomora,Visa_msaldototal,Visa_msaldopesos,Visa_msaldodolares,Visa_mconsumospesos,Visa_mconsumosdolares,Visa_mlimitecompra,Visa_madelantopesos,Visa_madelantodolares,Visa_fultimo_cierre,Visa_mpagado,Visa_mpagospesos,Visa_mpagosdolares,Visa_fechaalta,Visa_mconsumototal,Visa_cconsumos,Visa_cadelantosefectivo,Visa_mpagominimo,clase_ternaria
4572728,202011,1,0,0,56,274,-348.43,6001.98,200.19,-444.83,-24.09,7,1,0,0,0,1,1,0,0,2,1640.51,0,0,1.17,1192.69,1,0,0,1,5,21736.41,1,2,2017.11,0,0,0,0,0,0,1,117000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5077.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,200.19,0,0,0,0,0,1,19574.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,91,0,0,0,0,0,0,0,0,0,52,0,0,0,0,202176,-850,,2017.11,2017.11,0,1900.11,0,224640,0,0,19,2017.11,-2648.48,0,5013,1900.11,1,0,128.7,0,0,101088,-1581,,18731.09,21915.37,0,21451.54,3.52,112320,0,0,5,0,-19574.32,0,5013,21451.54,6,0,1041.3,BAJA+2
4572841,202009,1,0,1,60,369,8004.91,139974.06,625.83,5944.93,361.98,7,1,0,0,0,1,1,0,0,2,757.48,0,0.88,1.17,569.12,1,0,0,1,15,99032.34,1,3,16144.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,65788.97,1,2164.5,0,0,1,1696.5,0,0,0,0,0,0,0,0,8,625.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,53,1,9,0,0,3063914.1,-852,,17165.24,17165.24,0,16144.01,0,3404349,0,0,0,0,-7020,0,5028,16144.01,3,0,1661.4,0,0,3574566.45,-1976,,110942.36,129802.56,0,92439.73,4.38,3971740.5,0,0,0,0,-66924,0,7651,92439.73,13,0,35100,BAJA+2
4573161,202011,1,0,0,61,276,1803.61,36752.94,1730.31,-5.2,67.85,8,1,0,0,0,1,1,0,0,2,12435.7,0,123.65,1.17,2207.06,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,113490,0,1,46433.01,0,0,0,0,0,0,0,0,1,3510,0,0,0,0,3,311.22,0,0,0,0,0,0,0,0,0,0,0,0,1,1923.24,10,1753.03,1,1,1.75,0,0,1,3510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30,0,1,0,0,707616,-1125,,0,0,0,,,786240,,,12,0,,,3991,,,,0,,,,,,,,,,,,,,,,,,,,,,,BAJA+2
4576124,202005,1,0,1,59,249,1638.11,32489.55,2104.53,-398.65,0,6,1,0,0,0,1,1,0,-3975.75,2,0,0,51.31,1.17,-4565.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1923.24,4,2104.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,16,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAJA+2
4579001,202004,0,0,0,53,311,-2428.58,9986.66,0,-2076.58,0.87,6,1,0,0,0,1,1,0,-18417.12,2,0,0,0,0,-18417.12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAJA+2
4579372,202007,1,0,0,75,314,2458.18,31867.05,2095.48,310,0,5,1,0,0,0,1,1,0,-8173.22,2,0,0,0,1.17,-11515.36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1923.24,4,2095.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAJA+2
4579843,202006,0,0,0,82,199,0,0,0,0,0,7,1,0,0,0,1,1,0,0,3,14975.45,5.95,5.76,1.17,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAJA+2
4581794,202005,0,0,1,69,257,2443.88,25529.97,2340.65,88.23,0,5,1,0,0,0,1,1,0,-2392.54,2,0,0,0,1.17,-5343.83,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2344.83,4,2340.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,14,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAJA+2
4583836,202011,1,0,0,85,318,2010.82,48089.07,1253.25,-508.86,1156.35,10,1,0,1,0,1,1,0,0,5,31711.35,17636.97,4897042.17,1.17,4983379.42,4,1,74.88,1,11,34617.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,603.27,8,17764.71,0,0,0,0,0,0,0,0,0,0,0,0,2,426.9,12,1253.25,0,0,0,0,0,1,35100,3,85410,0,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,0,0,0,0,0,0,61,0,1,0,0,176904,-1550,,0,0,0,,,196560,,,12,0,,,279,,,,0,0,0,202176,-1277,,29587.39,34617.24,0,34617.24,0,224640,0,0,12,34617.24,-31461.84,0,11543,34617.24,11,0,1380.6,BAJA+2
4589554,202003,1,0,1,46,309,1327.54,2569.53,1284.39,6.49,30.39,7,1,0,0,0,1,1,0,-251.88,2,8.49,0,0,1.17,-285.73,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4015.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1361.45,4,1284.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,6,0,0,0,0,505440,-1035,,-401.87,-401.87,0,,,561600,,,13,0,,,4836,,,,0,0,0,404352,-1400,,0,0,0,,,449280,,,13,0,,,4836,,,,0,BAJA+2
