semilla	subsamping	oficial	meseta	ganancia
999983	1	1	9559	12951250
999983	1	0	5000	11200000
999983	1	0	5500	11725000
999983	1	0	6000	12100000
999983	1	0	6500	12375000
999983	1	0	7000	12500000
999983	1	0	7500	12925000
999983	1	0	8000	1.3e+07
999983	1	0	8500	13175000
999983	1	0	9000	12900000
999983	1	0	9500	12975000
999983	1	0	10000	13050000
999983	1	0	10500	12975000
999983	1	0	11000	12600000
999983	1	0	11500	12525000
999983	1	0	12000	12200000
999983	1	0	12500	12075000
999983	1	0	13000	12100000
999983	1	0	13500	12075000
999983	1	0	14000	11800000
999983	1	0	14500	11525000
999983	1	0	15000	11100000
687683	1	1	9559	12151250
687683	1	0	5000	11300000
687683	1	0	5500	11325000
687683	1	0	6000	11550000
687683	1	0	6500	11675000
687683	1	0	7000	11850000
687683	1	0	7500	12075000
687683	1	0	8000	12050000
687683	1	0	8500	12075000
687683	1	0	9000	1.2e+07
687683	1	0	9500	12075000
687683	1	0	10000	12150000
687683	1	0	10500	12325000
687683	1	0	11000	12300000
687683	1	0	11500	12625000
687683	1	0	12000	12750000
687683	1	0	12500	12725000
687683	1	0	13000	12500000
687683	1	0	13500	12175000
687683	1	0	14000	11750000
687683	1	0	14500	11475000
687683	1	0	15000	11200000
