fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	ratio_corte	iteracion_bayesiana	ganancia
20211115 041502	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	576	TRUE	0.0485679609421641	0.812200082595518	6848	557	0.0331023574602696	1	6156250
20211115 041648	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	122	TRUE	0.0694525726698339	0.401175229586079	3844	906	0.0359226063451416	2	5635000
20211115 041853	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	290	TRUE	0.0280438727512956	0.160725437295332	6456	657	0.0312277706643904	3	4736250
20211115 042257	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	307	TRUE	0.0426151562482119	0.566880352397857	4333	491	0.0315457809244056	4	5838750
20211115 042733	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	476	TRUE	0.0769388209364843	0.349702172529942	3299	713	0.0338555396550426	5	6043750
20211115 042957	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	218	TRUE	0.0868696545087732	0.312519602611428	2060	213	0.0446093076581892	6	5637500
20211115 043121	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	114	TRUE	0.0846899416751694	0.95427214524243	2866	601	0.0278551881700183	7	5340000
20211115 043333	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	257	TRUE	0.0730772462580353	0.630408691486809	5420	413	0.0330019331676333	8	5571250
20211115 043557	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	263	TRUE	0.0985639136622194	0.243620223802282	2260	1020	0.0402492196195593	9	6188750
20211115 044303	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	633	TRUE	0.0344197078992147	0.534330553532345	5829	795	0.0362740913693689	10	6232500
20211115 044442	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	101	TRUE	0.0513272671634331	0.69484128067561	1470	749	0.0344246106466488	11	5558750
20211115 044713	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	161	TRUE	0.0368544003763236	0.489423041073314	1028	130	0.0325667612328756	12	5586250
20211115 044935	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	218	TRUE	0.0904848694708198	0.873797504692629	348	249	0.0429690442117948	13	5932500
20211115 045309	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	483	TRUE	0.0225729210360441	0.723101025544747	7367	292	0.0332697312813303	14	5531250
20211115 045448	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	197	TRUE	0.0644040121824946	0.909390308032744	7800	946	0.0348430451993004	15	5896250
20211115 045733	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	475	TRUE	0.0586509651492815	0.136960567996721	4809	353	0.0459734042998335	16	5883750
20211115 050417	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	581	TRUE	0.029903282031763	0.534636662404607	5727	490	0.031135715062807	17	5700000
20211115 050737	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	416	TRUE	0.0317840394599736	0.969354339546012	5367	102	0.0292862343400869	18	5676250
20211115 051032	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	352	TRUE	0.0554934794114903	0.734236518382677	4314	846	0.0308344421848979	19	6045000
20211115 051435	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	572	TRUE	0.0473255690898746	0.718817888564453	6321	730	0.033713271907141	20	5815000
20211115 051854	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	404	TRUE	0.062278566761408	0.423446070845309	5296	627	0.0274032788531546	21	5507500
20211115 052257	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	541	TRUE	0.0291698684212565	0.990747633903171	6196	506	0.0374122333525813	22	6062500
20211115 052446	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	166	TRUE	0.0845429159516469	0.265302602361399	2184	862	0.0286418451290034	23	5722500
20211115 052643	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	183	TRUE	0.0722323446390033	0.951347630601563	2650	667	0.0344162419555957	24	5860000
20211115 053316	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	559	TRUE	0.0476338022232428	0.572736529607885	6004	663	0.0369519553446645	25	6481250
20211115 053634	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	338	TRUE	0.0551776551933028	0.327766494586272	6499	587	0.0321985388265421	26	5841250
20211115 053918	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	239	TRUE	0.0798047164328769	0.393344031555881	5062	686	0.0366841572309675	27	5921250
