fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	bagging_fraction	bagging_freq	min_gain_to_split	min_data_in_leaf	num_leaves	max_bin	lambda_l1	lambda_l2	ratio_corte	iteracion_bayesiana	ganancia
20211118 171529	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	189	TRUE	0.0772112887068652	0.633040470168344	0.440976799814962	52	5.39393354603089	3644	287	16	41.9139528233791	28.7003108416684	0.0370440109462479	1	5717500
20211118 171633	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	195	TRUE	0.0638561918716878	0.490051603609463	0.628601355638239	33	8.63077310888912	4678	222	59	58.2743513252353	35.0992320541991	0.0431615241060146	2	5903750
20211118 171718	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	381	TRUE	0.053631811184343	0.616793097302434	0.321516701575019	92	2.4939877485449	4891	626	48	62.5339758832706	7.70540009252727	0.0417723213912112	3	5761250
20211118 171800	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	179	TRUE	0.0649580881008878	0.188847564625903	0.525633688253001	65	4.35836993559496	4179	428	40	72.9761936335126	76.0679731407436	0.0441908731055376	4	5700000
20211118 171828	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	170	TRUE	0.0596981963715516	0.684549638818135	0.460339306706446	45	10.3154991645715	4463	456	32	56.6177283204161	86.3766502786893	0.04662616220197	5	5736250
20211118 171900	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	136	TRUE	0.0814079891266301	0.122113602834288	0.720087474111351	73	12.208644871891	2419	702	79	83.657208160148	66.5474609675584	0.0335458980860804	6	5940000
20211118 172026	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	464	TRUE	0.0370904281623662	0.220554879714618	0.268313526206766	47	8.03931231232127	5277	806	23	5.9139002172742	58.9967821585014	0.0502665428100391	7	5192500
20211118 172122	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	323	TRUE	0.0425378292985261	0.706787938707275	0.557114808029728	43	3.48374241901911	2674	527	14	76.2592554138973	55.1486357825343	0.043797544626045	8	6008750
20211118 172236	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	204	TRUE	0.0729224329879507	0.451372505624895	0.966772640548879	81	9.41918623389211	3284	485	66	16.0201930964831	15.6235898798332	0.0490698199894554	9	5521250
20211118 172335	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	194	TRUE	0.0868931377436966	0.428298536380753	0.409260381701752	51	9.30415933820768	2405	886	49	49.9653130106162	30.0597474625101	0.0467265864946064	10	5471250
20211118 172443	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	220	TRUE	0.0753886611745693	0.588525713939453	0.765004214519286	58	11.5485133790353	7210	369	75	86.0605055728229	72.1028452168684	0.0481994761199401	11	5651250
20211118 172602	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	180	TRUE	0.0518244750862941	0.661890516920248	0.578564339256845	55	5.66487111820607	197	755	89	46.0491000587353	96.2653003999731	0.0475801929820157	12	5843750
20211118 172651	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	261	TRUE	0.0440727587295696	0.166049595270888	0.191349130745512	27	3.16444908210542	3056	254	58	39.1443043027539	19.5963954541367	0.0562250508397981	13	4652500
20211118 172820	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	363	TRUE	0.0602242690701969	0.260191394407302	0.985635153515614	63	5.18634032297996	4313	729	97	27.9925695084967	74.2336370307021	0.0421321751064916	14	5757500
20211118 172919	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	299	TRUE	0.0246056039431132	0.915117244710564	0.745458392691798	29	13.7637384218106	6250	637	21	71.3550832035253	64.4328685378423	0.0409270835948549	15	5687500
20211118 173015	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	370	TRUE	0.0304838866987266	0.794787592208595	0.372538100624806	61	12.4126980413566	1400	128	36	60.8291597384959	53.2481842301786	0.0444921459834467	16	5655000
20211118 173056	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	312	TRUE	0.0289563614106737	0.751851371211233	0.225335315002012	7	0.833390601648716	901	571	26	33.4818493574858	46.0077803838067	0.0373034403688919	17	5628750
20211118 173119	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	202	TRUE	0.089555052950047	0.763627800893737	0.337376327044913	74	2.6752128021908	5893	197	54	26.4139596722089	60.9916995838284	0.0458897173893031	18	5696250
20211118 173245	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	303	TRUE	0.0408753442326561	0.511625690373476	0.430619845518377	66	3.90560352330795	5053	937	84	98.0315337347565	43.2191358553246	0.0428518825370524	19	5850000
20211118 173312	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	130	TRUE	0.0697080600485206	0.952851827978156	0.286700245804386	24	14.5412454947073	728	423	44	8.46848788787611	94.0301806532079	0.0419396952122719	20	5736250
20211118 173345	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	190	TRUE	0.0919250850472599	0.909732682515751	0.606713318132097	37	7.6163593736419	6428	885	9	69.148093292024	69.3198548036162	0.0447766814792498	21	5762500
20211118 173436	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	155	TRUE	0.0799933724794537	0.280214131191606	0.93391901707917	18	1.93744662878453	2085	550	45	67.0207212795503	50.5354598775739	0.0386591683194831	22	5776250
20211118 173552	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	375	TRUE	0.0468172300169244	0.30299030306167	0.185910197612247	31	13.055709465465	7093	340	7	31.0906454542419	81.5684952313313	0.0541496154586461	23	4912500
20211118 173634	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	408	TRUE	0.0340719167562202	0.878602939317934	0.369276376652415	35	6.73730829221313	6006	188	77	50.3600267902948	7.24404454580508	0.045864611316144	24	5450000
20211118 173721	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	102	TRUE	0.0929944719681516	0.567022794033401	0.640880738156848	80	11.736900498101	1608	153	19	53.4001173713477	26.2498806545045	0.0353953788088005	25	5713750
20211118 173809	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	74	TRUE	0.0850392989874817	0.404582544335281	0.896013501686393	94	1.63401116579189	240	692	94	94.3773648224305	3.04205855820328	0.0354204848819596	26	6210000
20211118 173857	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	393	TRUE	0.0553383309738711	0.994182112956769	0.487574170288281	99	9.90944048939855	7622	958	99	13.4226591500919	11.5191996115027	0.0417472153180521	27	5715000
20211118 173958	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	193	TRUE	0.095226138769649	0.463403324764222	0.676180879769963	90	14.6651832688367	6825	314	92	2.74123185314238	41.8358747725142	0.0418560083017415	28	6048750
20211118 174202	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	413	TRUE	0.0273561875359155	0.841173230904387	0.917231267439201	39	10.992735707463	1636	1006	68	36.4807679527439	48.9147520752158	0.047396081778849	29	6071250
20211118 174307	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	468	TRUE	0.0336579369953834	0.71586252931389	0.534466689323308	13	0.332291825761786	5419	505	62	80.807887588162	98.1852931599133	0.0431029432686433	30	5612500
20211118 174423	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	209	TRUE	0.0705758534870111	0.544159007313428	0.804572753501707	10	8.38159732252825	7974	111	33	10.7493611704558	20.9478068456519	0.0395295121889985	31	6046250
20211118 174459	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	98	TRUE	0.0669820741354488	0.329462330547394	0.236560634545749	20	6.92468038052903	504	395	3	78.903603926301	84.0333194943378	0.0403747499853548	32	5520000
20211118 174547	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	204	TRUE	0.0976404055687599	0.201722168400302	0.696019458021619	86	6.14297093011555	5745	776	29	19.6754451195011	90.6331924872939	0.0421321751064916	33	5457500
20211118 174805	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	682	TRUE	0.0214674816438928	0.361144300327287	0.151173795727664	97	10.8040980268561	3924	822	81	24.6984934119973	79.614286624128	0.0511452553706075	34	4611250
20211118 174951	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	379	TRUE	0.0394826224381104	0.39123397488147	0.844858482249547	70	13.3588385596813	6671	913	12	95.1867122563999	24.4087509973906	0.0449105805360984	35	5592500
20211118 175021	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	95	TRUE	0.0823455506684259	0.966434905705974	0.779004517733119	9	0.495213480200619	3479	858	72	0.221398339490406	34.4309895724291	0.048182738737834	36	5653750
20211118 175038	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	158	TRUE	0.0560451432415284	0.853456300899852	0.129401025179541	84	4.87104052593349	1055	674	71	89.6817552729044	0.466505853109993	0.0466010561288109	37	5290000
20211118 175146	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	468	TRUE	0.0483056873045862	0.133487197674112	0.112888089407934	5	7.41892948854365	7569	994	38	22.1903235831996	14.1926630306989	0.0410191391964383	38	4723750
20211118 175230	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	130	TRUE	0.0986230524769053	0.819128756229184	0.880011681530159	17	13.8826455186645	1987	604	87	91.6410282830475	87.9820904298685	0.0403914873674609	39	5767500
20211118 175422	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	458	TRUE	0.0237919538500719	0.249241321863956	0.830768281201599	77	1.20638712728396	2841	262	53	43.5122280952055	39.9761258176295	0.0425924531144084	40	5838750
20211118 175618	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	232	TRUE	0.0503800800302683	0.438485090904571	0.824293828917092	90	5.03229080554626	42	894	100	78.1918395406693	16.2771312518784	0.0471952331935762	41	6201250
