Feature	Gain	Cover	Frequency
ctrx_quarter	0.13369678187187	0.0192261609922047	0.00380171130553979
Visa_mfinanciacion_limite_dolariza	0.0525740413744582	0.0015321793741135	0.0032234228252605
mcaja_ahorro	0.046785900445159	0.0147431267505397	0.00367320275436661
mdescubierto_preacordado_dolariza	0.0418313836766671	0.00456989334171632	0.00571863052720633
mtarjeta_visa_consumo	0.0319340585923393	0.0176810743413145	0.00174557448676897
foto_mes	0.0245550876568481	0.0150053508759367	0.00776405830004605
mcuenta_corriente_dolariza	0.0228431434417735	0.00183563801604533	0.0037374570299532
mcuentas_saldo	0.0151968451763501	0.00970433143773148	0.00433716360209469
mpayroll	0.0127741959610819	0.0219565704130627	0.00223819059959948
ctarjeta_visa_delta1	0.0116440743690207	0.000566776344470684	3.2127137793294e-05
mprestamos_personales	0.0106997810920345	0.00910969805050304	0.00358753038691783
mcaja_ahorro_dolariza	0.00993196566666647	0.00505338490675125	0.0021525182321507
Visa_Finiciomora	0.00910948492482004	0.00943639722974011	0.00185266494607995
mtarjeta_visa_consumo_dolariza	0.00847406014547779	0.00563886052595214	0.00152068452221592
ctarjeta_visa_transacciones	0.00825717819757571	0.0197358738482346	0.00339476756015807
ctrx_quarter_delta1	0.0081283732242341	0.0107448829363362	0.00810674776984119
cpayroll_trx	0.007144931972112	0.0179481150046439	0.0010709045931098
mprestamos_personales_delta1	0.00668750439246006	0.0125015552560807	0.00461559879630324
Visa_delinquency	0.0062956053828672	0.00247804793308611	0.000471198020968312
ctarjeta_visa	0.0062849332863641	0.00438626210545744	0.000524743250623802
mactivos_margen	0.00616661226690524	0.0052846722842185	0.00504396063354716
mcuentas_saldo_dolariza	0.00543461074526816	0.00869945414898369	0.00439070883175018
mpayroll_dolariza	0.00523713914908822	0.00959314645735919	0.00169202925711348
Master_Finiciomora	0.00495521975548419	0.00563906240401209	0.0010494865012476
mprestamos_personales_dolariza	0.00449129732470329	0.0064539826600205	0.00334122233050258
mcuenta_corriente	0.00418854913769166	0.00284798465104358	0.00421936409685261
cproductos_delta1	0.00417935282514674	0.0107090092618701	0.00225960869146168
Visa_mpagospesos	0.00415734538055873	0.0022848784553815	0.00201330063504642
Visa_status	0.00412063196238674	0.00211806584781897	0.00069608798552137
Visa_status_lag1	0.00392785507444331	0.000969899288459057	0.000342689469795136
Visa_msaldopesos_dolariza	0.00370295811939957	0.0033096256844589	0.00173486544083788
Visa_Finiciomora_lag1	0.00369979793807214	0.00217903089240858	0.00124224932800737
cliente_edad_lag1	0.00359499409996473	0.00659781069802891	0.00671457179879845
ccaja_ahorro	0.003513804339095	0.00902263451697327	0.00234528105891046
mrentabilidad_annual	0.00339553324541266	0.00197666290194845	0.00489403399051179
mdescubierto_preacordado_delta1	0.00337596361671372	0.00583743513964584	0.00131721264952505
Visa_fechaalta	0.00334607502942629	0.00274637212633112	0.004262200280577
mcuentas_saldo_delta1	0.00330573672410906	0.00741606449744498	0.00493687017423618
cliente_edad	0.00321736450347443	0.00573559660236556	0.00665031752321186
mcomisiones_mantenimiento_dolariza	0.00319133546017317	0.00530057905442043	0.00301995095256964
Visa_Finiciomora_delta1	0.00301806683867892	0.00276890850387733	0.000663960847728076
mrentabilidad_annual_lag1	0.00288935366901375	0.00226722647632517	0.00515105109285814
numero_de_cliente	0.00286534047255503	0.00792643225044428	0.00598635667548378
Master_fechaalta	0.00285470907914781	0.00276766302130352	0.00443354501547457
cproductos	0.00283785052954221	0.00720786717152801	0.00337334946829587
Visa_mpagominimo_dolariza	0.00272692152701533	0.0136685463056764	0.00284860621767207
mcuenta_corriente_lag1	0.00266958032802956	0.00198156760181846	0.00408014649974834
mrentabilidad_annual_delta1	0.00266254923334204	0.00268211030796643	0.00508679681727155
mrentabilidad_annual_dolariza	0.00257632197869573	0.00314693837412987	0.00450850833699226
Master_fechaalta_lag1	0.00249801257880934	0.00278140194482792	0.00489403399051179
ccaja_ahorro_delta1	0.00249065347805642	0.00985310179704864	0.00130650360359396
mactivos_margen_dolariza	0.00245909496163056	0.0037445884328744	0.00386596558112638
mcaja_ahorro_lag1	0.0024206848046645	0.00426799719621756	0.00425149123464591
chomebanking_transacciones	0.00240887667426693	0.0020076026311997	0.00404801936195504
Visa_Fvencimiento_lag1	0.00233990652804667	0.00162829874286699	0.00467985307188983
mautoservicio	0.00223841414580041	0.0161201212390472	0.00148855738442262
Visa_mpagominimo_delta1	0.00216880450374553	0.00123524017259592	0.0026558433909123
Master_Fvencimiento	0.00215942905411779	0.00138247273785866	0.00450850833699226
Visa_mpagospesos_lag1	0.00214760877583248	0.00268780690362998	0.00334122233050258
mcuenta_corriente_delta1	0.00214680959444278	0.00262887838560154	0.00412298268347273
mactivos_margen_delta1	0.00207771916791691	0.00150153096256901	0.00449779929106116
ctrx_quarter_lag1	0.00207156060970054	0.00141787522155052	0.00360894847878003
mpasivos_margen	0.00206455341676187	0.00179483877245828	0.00313775045781171
mactivos_margen_lag1	0.00203100493960373	0.00306908016780491	0.00417652791312822
Visa_Fvencimiento	0.00200137148819389	0.00164181790040208	0.00400518317823065
cprestamos_personales_lag1	0.00199597407704585	0.00373547609450873	0.00102806840938541
mcaja_ahorro_delta1	0.00196837365216874	0.00168480898320682	0.00361965752471112
mttarjeta_visa_debitos_automaticos_delta1	0.00193500400133463	0.00176606106920913	0.00346973088167575
Visa_mfinanciacion_limite	0.00192864997583884	0.00146208396126117	0.00300924190663854
cliente_antiguedad_lag1	0.00192664112931504	0.00378355828076487	0.00404801936195504
Visa_mpagominimo_lag1	0.00192212817374145	0.00301143674133671	0.00295569667698305
canarito47	0.00192145628655766	0.000883088315455758	0.00446567215326786
internet	0.0019193524419446	0.000548699456108138	0.00121012219021407
canarito33	0.00187916881754309	0.00118588765941964	0.00439070883175018
canarito101	0.00187666479628833	0.000672022674262249	0.00440141787768128
mcaja_ahorro_dolares_delta1	0.00187565466158059	0.00907647107974415	0.00305207809036293
canarito95	0.00184136319734117	0.00154766620387849	0.00442283596954347
mes	0.00182725201543609	0.00541092017882342	0.00297711476884524
ccallcenter_transacciones_delta1	0.00181771084664985	0.00141165107393847	0.00188479208387325
Master_Fvencimiento_lag1	0.00181473357354885	0.000828103659948714	0.00389809271891967
chomebanking_transacciones_delta1	0.00180835253418912	0.0021078426122528	0.00384454748926418
canarito63	0.00180028880679517	0.00094833908077236	0.00448709024513006
canarito6	0.00179330600082238	0.00075444187667162	0.00416581886719712
Master_mfinanciacion_limite_dolariza	0.00179290516143339	0.000715103338681502	0.00309491427408732
canarito5	0.00178753034254645	0.000688232971392567	0.00411227363754163
Visa_fechaalta_lag1	0.00178661531538879	0.00177204429764556	0.00380171130553979
chomebanking_transacciones_lag1	0.00178218250033588	0.000695845563045632	0.00345902183574465
canarito87	0.00176828948015632	0.000797856733041031	0.00418723695905932
canarito83	0.00176301569797431	0.000554409538702557	0.00401589222416175
canarito88	0.00175249862063218	0.000734684232787448	0.00410156459161053
canarito92	0.00174504203911507	0.000546147302884701	0.00385525653519528
canarito46	0.00174244127648215	0.000669878962092593	0.00406943745381724
canarito2	0.00174043907149781	0.000822221086606869	0.00413369172940383
Visa_mconsumospesos_lag1	0.0017370880593733	0.000484428267875683	0.00191691922166654
mcomisiones	0.00173597784319629	0.000824359545971871	0.00218464536994399
canarito18	0.00173490424966792	0.000540291277501513	0.00405872840788614
canarito53	0.00173260730807922	0.000692766709679849	0.00390880176485077
canarito51	0.00172459722748302	0.000662141864772456	0.00398376508636846
canarito41	0.00172351472461976	0.000748389651936216	0.00400518317823065
canarito99	0.00171753487081685	0.00046368749771503	0.00382312939740199
canarito75	0.00171480244136578	0.000760029015243594	0.00415510982126602
canarito9	0.00171433616380698	0.000906368035844367	0.00396234699450626
mcomisiones_lag1	0.00171287938221529	0.0011603654173468	0.00299853286070744
canarito85	0.0017126147331089	0.000683162027353631	0.00388738367298857
mrentabilidad_delta1	0.00171159536747458	0.00100528828522005	0.0037267479840221
canarito77	0.0017103814875329	0.000825416353481203	0.00408014649974834
canarito40	0.00169935467943397	0.000827266618428695	0.00393021985671297
ccaja_seguridad_lag1	0.0016900548876071	0.00315090949444839	0.000578288480279292
Master_mfinanciacion_limite	0.00168894582181968	0.000824268260745044	0.00231315392111717
canarito82	0.0016880712760876	0.000600386060130859	0.00383383844333308
canarito11	0.00168679140274943	0.000729599943785336	0.00401589222416175
cliente_antiguedad	0.00168330906302215	0.00230657083499071	0.00353398515726234
canarito25	0.00167913474026814	0.000669807552342835	0.00368391180029771
canarito43	0.00167564453019452	0.00056524295141476	0.00384454748926418
canarito106	0.00167546391062088	0.000652827932282228	0.00408014649974834
canarito90	0.00167382813439095	0.000755988188787639	0.00396234699450626
canarito23	0.00166887684044642	0.000820034784129207	0.00369462084622881
canarito44	0.0016673541375698	0.000889240485447284	0.00398376508636846
canarito48	0.00166572581162828	0.00127560087797819	0.0037588751218154
canarito71	0.00166386934200731	0.000626259246341671	0.00388738367298857
mpasivos_margen_dolariza	0.00166190342433667	0.00120497876498351	0.00282718812580987
mcuentas_saldo_lag1	0.00166125368849867	0.00119090792099205	0.00338405851422697
canarito54	0.00165653163591385	0.00067830204730702	0.00393021985671297
canarito108	0.001656206401293	0.000655250752937019	0.00388738367298857
canarito65	0.00165549356751554	0.000515241078009078	0.00380171130553979
canarito91	0.00164479642906016	0.000732921703874449	0.00383383844333308
mrentabilidad_lag1	0.00164358912857086	0.00144905388242969	0.00327696805491599
canarito107	0.00164041110609942	0.00105161944194635	0.00390880176485077
canarito105	0.00164021449748477	0.000604958555598427	0.00382312939740199
canarito12	0.00163950633430522	0.000695245181670435	0.0037267479840221
canarito86	0.00163915218343338	0.000559710896307808	0.00379100225960869
Visa_fultimo_cierre_lag1	0.00163620036118632	0.00232059255816027	0.00246308056415254
canarito103	0.00163562868320303	0.00116922178796135	0.00410156459161053
canarito70	0.00162739915483791	0.00121650341839466	0.00378029321367759
canarito57	0.0016248978670317	0.000811977691628248	0.0037481660758843
canarito69	0.00162421212262513	0.000859040407878407	0.00387667462705748
canarito73	0.00162036345891538	0.000576658005766637	0.00364107561657332
