fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	gleaf_size	gnum_leaves	acumulaciones	pos_ratio_actual	gan_validate	gan_test	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211119 134336	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	92.4	225	TRUE	0.158717230118345	0.652636210202763	351	402	64.1490992717445	0.657155239759595	10	0.0371544776681479	6805375	5605375	0.034880704309039	7140000	5940000	1
20211119 135241	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	331	260	TRUE	0.0657192451049923	0.907587110146414	1107	105	52.6111114898231	0.539917974270065	10	0.0360389311507787	6872000	5922000	0.0350982902764179	6907500	5907500	2
20211119 140540	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	211.5	232	TRUE	0.122252425838669	0.748017167893704	30	767	88.8269503379706	0.107249188990681	10	0.0400098750554426	6448875	5353875	0.0356171491217059	6780000	5280000	3
20211119 141819	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	196.6	262	TRUE	0.0642195654040552	0.4943778087385	113	652	75.483642690815	0.343145421289228	10	0.0382415706359368	6738000	5763000	0.0343451080816449	7020000	5870000	4
20211119 142823	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	493	228	TRUE	0.142166489310039	0.417988810656243	6009	15	35.4673616588116	0.41958289853661	10	0.0369971462763509	6603875	5863875	0.0383537110960475	6471250	5621250	5
20211119 145308	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	282.5	235	TRUE	0.111167189658445	0.314596847450593	11	18043	99.1225444432348	0.925224460883182	10	0.0379503401872913	6356500	5341500	0.0315499652699321	6387500	5487500	6
20211119 151424	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	289.9	319	TRUE	0.03346586178086	0.687713697344589	207	991	69.4358978548553	0.955571887505503	10	0.0379553614019231	6850750	5910750	0.0392156862745098	6742500	6142500	7
20211119 154046	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1648.7	390	TRUE	0.0210290502206772	0.339278354712587	2169	21	45.8408995973878	0.208499025527854	10	0.0372239378038881	6450000	6120000	0.0370565639828274	6365000	6165000	8
20211119 154940	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	648.6	220	TRUE	0.198898604344577	0.17779216777999	8978	8	31.3077909336425	0.31858175157613	10	0.0368306093243956	6333750	5718750	0.0324788899768187	6348750	5898750	9
20211119 155944	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	121.6	223	TRUE	0.169647188904637	0.575881433632458	154	640	72.3535847198218	0.459251188146736	10	0.0372590863063108	6519750	5329750	0.0423957888746621	6867500	5717500	10
20211119 161004	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1498.1	238	TRUE	0.104629133284907	0.82730145114183	14408	2	26.3103350088932	0.0235067331508617	10	0.0392901676248818	5301375	4696375	0.0420526725414878	5168750	4868750	11
20211119 162235	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	501.4	250	TRUE	0.0787091707048239	0.458492302372179	2769	56	43.3685727696866	0.716113468802941	10	0.0392617140753015	6800625	5875625	0.0407890001924799	6757500	5907500	12
20211119 162711	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	133.9	221	TRUE	0.187111176630715	0.112106538680382	656	283	57.866289250087	0.865916496434948	10	0.0377427966491761	6472500	5422500	0.0387051961202748	6718750	5768750	13
20211119 165843	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	357.6	285	TRUE	0.0466798693241435	0.970663229122874	65	1871	80.9993828972802	0.566909671095491	10	0.0358523093402961	6569875	5499875	0.0359267906906681	6433750	5583750	14
20211119 170651	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	665.3	226	TRUE	0.150430054258031	0.855476794253627	19478	10	23.0387669033371	0.803060292990995	10	0.0423698459323977	6446375	5586375	0.0436176177684048	6385000	5585000	15
20211119 171941	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	232.6	244	TRUE	0.0897421148052672	0.221599574084394	18	2177	94.0890776494052	0.182688347909134	10	0.041749725925368	6449000	5419000	0.0370900387470396	6460000	5460000	16
20211119 173701	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	580	350	TRUE	0.0265648467483806	0.408229662008293	988	214	53.7530718869946	0.981727255362967	10	0.037792171926389	6975125	5900125	0.0357594168696074	6958750	6008750	17
20211119 175500	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	749.1	330	TRUE	0.0307340378781625	0.569801960036735	400	74	62.8306926179934	0.137798259779764	10	0.038459993472421	7085375	6175375	0.0369561396901911	7130000	6430000	18
20211119 182037	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1739.3	323	TRUE	0.032282083597715	0.507007455972508	2832	2	43.1410409167618	0.01158735648729	10	0.0369050906747676	5302625	4947625	0.0338597240005691	5242500	4942500	19
20211119 184518	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	1666.7	397	TRUE	0.0203025169872361	0.351278519619612	5356	6	36.6484612971786	0.141333537514966	10	0.0343082858410116	6010500	5510500	0.0317926573104701	5951250	5401250	20
20211119 185518	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	122.6	233	TRUE	0.118619115609322	0.69050177848218	293	620	65.9410280143097	0.845364771881238	10	0.0362180211393136	6710250	5730250	0.0373243620965245	6875000	6075000	21
20211119 191318	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	834.3	303	TRUE	0.0387557231759137	0.56718049815835	488	51	60.8284335275588	0.115739060877908	10	0.0406140945494715	6938625	6023625	0.0408643184119572	6896250	6046250	22
20211119 192934	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	542.6	278	TRUE	0.0511194221011338	0.572693797350972	361	163	63.8500994863082	0.274420143544714	10	0.0378733482296034	7003000	6048000	0.037977119998661	7027500	6027500	23
20211119 193803	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	142.8	230	TRUE	0.132305999654324	0.569559280932287	391	255	63.0595028102706	0.464180102245613	10	0.0381553731180906	6675875	5910875	0.0345124819027056	6845000	6295000	24
20211119 194815	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	542.6	222	TRUE	0.177347496672529	0.570066964541559	458	7	61.4644677036621	0.0155596154146927	10	0.0357410057492908	6551500	5791500	0.0318177633836292	6597500	5697500	25
20211119 200033	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	376.3	271	TRUE	0.0561826910031631	0.567526024227271	396	134	62.9284679059603	0.24794233733657	10	0.0384817520691589	6917125	6017125	0.038487610152896	7101250	6251250	26
20211119 200805	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	164.5	224	TRUE	0.164733877169483	0.573987537447584	404	147	62.7340320904239	0.276664419197496	10	0.0372724762119957	6807750	5722750	0.0345626940490238	7187500	6037500	27
20211119 202009	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	155.5	262	TRUE	0.0644789545071198	0.689396130094598	235	623	68.1509172278992	0.682097477916483	10	0.0337099244307198	6734875	5774875	0.0343283706995389	6722500	5972500	28
20211119 203311	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	622.4	280	TRUE	0.0499839408329992	0.337312928651896	1936	47	46.9879180837213	0.422953867061015	10	0.0373737373737374	6722625	6007625	0.0403873030219343	6717500	5967500	29
20211119 205506	binary	custom	TRUE	TRUE	FALSE	-100	-1	0	0	0	31	848.4	349	TRUE	0.0266770293673803	0.570506954452609	412	114	62.5432863793795	0.218199116452489	10	0.0372331433640464	7083625	6223625	0.0347049617969253	7066250	6116250	30
