fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	bagging_fraction	bagging_freq	min_gain_to_split	max_bin	lambda_l1	lambda_l2	min_data_in_leaf	num_leaves	gleaf_size	gnum_leaves	acumulaciones	pos_ratio_actual	gan_validate	gan_test	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211126 012903	binary	custom	TRUE	TRUE	FALSE	-100	-1	102.6	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	105	153.026626273058	102.371438988484	2930	48	42.7976244580932	0.650360832637758	10	0.0533336680809755	4673750	4363750	0.0585640999891207	4702500	4152500	1
20211126 013133	binary	custom	TRUE	TRUE	FALSE	-100	-1	31.9	225	TRUE	0.159621903926018	0.710469457459985	0.588027226703707	479	22.6547329642926	82	98.2007323182188	142.287408231059	180	234	70.8182031358592	0.196051575906051	10	0.0464646464646465	5029750	4844750	0.0549906689094759	5186250	4686250	2
20211126 013534	binary	custom	TRUE	TRUE	FALSE	-100	-1	57	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	216	34.3245127459522	58.2604954985436	532	214	59.9724111352116	0.530324685355707	10	0.0420735942691204	5715625	5530625	0.0427556425899425	5813750	5663750	3
20211126 014020	binary	custom	TRUE	TRUE	FALSE	-100	-1	45.1	235	TRUE	0.111505493398407	0.297934837959474	0.273365641402779	328	20.3556205474888	90	76.9631864351686	86.2305965926498	125	886	74.4859306421131	0.516056260660232	10	0.0487426041692819	4584500	4209500	0.053216506406233	4601250	4201250	4
20211126 014555	binary	custom	TRUE	TRUE	FALSE	-100	-1	48.6	230	TRUE	0.133237513432046	0.44483792951447	0.492708388855681	434	37.1041934771347	181	73.1088680448011	63.825186380418	8218	7	32.2289680661634	0.267486313695437	10	0.0499694542776564	4276250	3916250	0.0442620069794883	4338750	3738750	5
20211126 015038	binary	custom	TRUE	TRUE	FALSE	-100	-1	63.1	232	TRUE	0.123699772359687	0.180681682141731	0.982049080290599	401	9.05543825851055	77	170.645059270319	155.898697618395	353	488	64.0808299635537	0.802700850204914	10	0.0434067267538684	5411500	5001500	0.0380859129823504	5511250	5211250	6
20211126 015515	binary	custom	TRUE	TRUE	FALSE	-100	-1	17.2	222	TRUE	0.180688375353231	0.578350096669747	0.248918626999948	111	13.83273416257	45	91.4323899499141	152.529438659549	16098	7	25.1164709297009	0.4647782075305	10	0.0419137522700074	3469500	3519500	0.0415421823872528	3645000	3645000	7
20211126 020040	binary	custom	TRUE	TRUE	FALSE	-100	-1	26.8	248	TRUE	0.0827439808099298	0.526902774552582	0.43905542238499	686	29.8489984907792	30	145.756030876655	25.0160459976178	478	330	61.0390264387242	0.734272518527927	10	0.0419279790447976	4482375	4417375	0.0393746914045174	4518750	4718750	8
20211126 020534	binary	custom	TRUE	TRUE	FALSE	-100	-1	18.5	228	TRUE	0.141190576664289	0.53469796170597	0.224424025379121	779	38.4437381205498	59	23.8999882002827	106.077681193128	27	1655	89.9877395792864	0.20835182041378	10	0.0465960349141791	4465125	4210125	0.0378097461776004	4402500	4502500	9
20211126 021136	binary	custom	TRUE	TRUE	FALSE	-100	-1	52.1	270	TRUE	0.0564167413106188	0.393141975092585	0.336062858877121	238	25.2053350413917	234	105.958131392254	175.747140721651	33	1868	87.8309184373356	0.287293274377356	10	0.044429380800549	4668750	4293750	0.036931033617032	4583750	4433750	10
20211126 021358	binary	custom	TRUE	TRUE	FALSE	-100	-1	41.8	254	TRUE	0.0729543880213751	0.646814089944819	0.289498068473767	21	39.8467836764758	61	169.506497381954	9.25320045556873	2373	38	44.9304861323908	0.42264233543718	10	0.0515126409078356	3395750	3395750	0.0657528056036755	3328750	2728750	11
20211126 021851	binary	custom	TRUE	TRUE	FALSE	-100	-1	83.3	226	TRUE	0.149743928799639	0.197813707141322	0.722244755894644	304	1.34586247993866	147	46.853309533326	65.4381254606415	1272	133	51.2145399888977	0.785575279520126	10	0.0406576117429473	5712125	5132125	0.0376172662833806	5681250	5131250	12
20211126 022114	binary	custom	TRUE	TRUE	FALSE	-100	-1	38.1	221	TRUE	0.185907965913648	0.761753523583175	0.557210804190836	92	5.73205838736612	13	58.5665491421241	46.072305245325	1017	103	53.4691167771816	0.486587978644879	10	0.0421338488447022	5551625	5451625	0.046228649376951	5695000	5795000	13
20211126 022621	binary	custom	TRUE	TRUE	FALSE	-100	-1	31.3	223	TRUE	0.168357995586004	0.366092126867734	0.703055862876354	370	41.4127897351864	160	118.996193393832	116.775415604934	84	899	78.4987808931619	0.35182165902626	10	0.0408400492079034	4969875	4689875	0.0452495125237462	5241250	5141250	14
20211126 022928	binary	custom	TRUE	TRUE	FALSE	-100	-1	46.5	243	TRUE	0.0910066604770255	0.904168617202085	0.616823444878682	769	44.5659990768763	167	163.001054908382	112.071818023687	755	24	56.4610378220677	0.0828885355537641	10	0.0488095536977061	4524500	4394500	0.0562710786405898	4545000	4445000	15
