fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	num_iterations	early_stopping_rounds	force_row_wise	learning_rate	feature_fraction	bagging_fraction	bagging_freq	min_gain_to_split	max_bin	lambda_l1	lambda_l2	min_data_in_leaf	num_leaves	seed	gleaf_size	gnum_leaves	semilla	isemilla	num_iterations	pos_actual	pos_ratio_actual	gan_validate	gan_test	pos_acum	pos_ratio_acum	gan_validate_acum	gan_test_acum	iteracion_bayesiana
20211126 012601	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	105	153.026626273058	102.371438988484	2930	48	378821	42.7976244580932	0.650360832637758	378821	1	108	5695	0.0476596955470195	4631250	4581250	5695	0.0476596955470195	4631250	4581250	1
20211126 012621	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	105	153.026626273058	102.371438988484	2930	48	964333	42.7976244580932	0.650360832637758	964333	2	104	7095	0.0593758630212648	4581250	3931250	7082	0.0592670700375754	4547500	4047500	1
20211126 012640	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	105	153.026626273058	102.371438988484	2930	48	187049	42.7976244580932	0.650360832637758	187049	3	106	6975	0.058371620094901	4731250	4231250	7040	0.0589155850133481	4650000	4200000	1
20211126 012700	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	105	153.026626273058	102.371438988484	2930	48	205151	42.7976244580932	0.650360832637758	205151	4	109	6143	0.051408869138778	4821250	4371250	6891	0.0576686500464462	4636250	4186250	1
20211126 012720	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	105	153.026626273058	102.371438988484	2930	48	813697	42.7976244580932	0.650360832637758	813697	5	105	6130	0.0513000761550886	4737500	4537500	6787	0.0567983061769309	4616250	4366250	1
20211126 012740	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	105	153.026626273058	102.371438988484	2930	48	344719	42.7976244580932	0.650360832637758	344719	6	101	6742	0.0564217150795444	4622500	4222500	7162	0.059936565321818	4647500	3947500	1
20211126 012800	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	105	153.026626273058	102.371438988484	2930	48	127217	42.7976244580932	0.650360832637758	127217	7	107	5972	0.0499778229687095	4485000	4535000	6863	0.0574343266969613	4621250	4221250	1
20211126 012820	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	105	153.026626273058	102.371438988484	2930	48	464371	42.7976244580932	0.650360832637758	464371	8	97	6781	0.0567480940306127	4573750	4173750	6968	0.0583130392575297	4640000	4140000	1
20211126 012839	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	105	153.026626273058	102.371438988484	2930	48	645137	42.7976244580932	0.650360832637758	645137	9	89	5719	0.0478605441322923	4851250	4651250	7120	0.0595850802975907	4700000	4050000	1
20211126 012858	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	279	TRUE	0.0500461902641691	0.929261599789024	0.679552793771145	407	27.7396423526807	105	153.026626273058	102.371438988484	2930	48	480803	42.7976244580932	0.650360832637758	480803	10	100	6478	0.0542123806415439	4702500	4402500	6998	0.0585640999891207	4702500	4152500	1
20211126 012931	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	225	TRUE	0.159621903926018	0.710469457459985	0.588027226703707	479	22.6547329642926	82	98.2007323182188	142.287408231059	180	234	378821	70.8182031358592	0.196051575906051	378821	1	35	5485	0.0459022704258827	4693750	4693750	5485	0.0459022704258827	4693750	4693750	2
20211126 012945	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	225	TRUE	0.159621903926018	0.710469457459985	0.588027226703707	479	22.6547329642926	82	98.2007323182188	142.287408231059	180	234	964333	70.8182031358592	0.196051575906051	964333	2	37	5284	0.0442201635242232	5245000	4995000	5819	0.0486974132375955	5226250	4776250	2
20211126 012958	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	225	TRUE	0.159621903926018	0.710469457459985	0.588027226703707	479	22.6547329642926	82	98.2007323182188	142.287408231059	180	234	187049	70.8182031358592	0.196051575906051	187049	3	34	6682	0.0559195936163625	4997500	4897500	5856	0.0490070548065577	5230000	4880000	2
20211126 013012	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	225	TRUE	0.159621903926018	0.710469457459985	0.588027226703707	479	22.6547329642926	82	98.2007323182188	142.287408231059	180	234	205151	70.8182031358592	0.196051575906051	205151	4	32	5127	0.0429062790288971	5091250	4641250	6294	0.0526725414877859	5232500	4832500	2
20211126 013025	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	225	TRUE	0.159621903926018	0.710469457459985	0.588027226703707	479	22.6547329642926	82	98.2007323182188	142.287408231059	180	234	813697	70.8182031358592	0.196051575906051	813697	5	35	5213	0.0436259864594579	5083750	4933750	6392	0.0534926732109831	5360000	4860000	2
20211126 013038	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	225	TRUE	0.159621903926018	0.710469457459985	0.588027226703707	479	22.6547329642926	82	98.2007323182188	142.287408231059	180	234	344719	70.8182031358592	0.196051575906051	344719	6	31	6843	0.0572669528759007	4846250	4346250	5723	0.0478940188965044	5346250	4896250	2
20211126 013051	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	225	TRUE	0.159621903926018	0.710469457459985	0.588027226703707	479	22.6547329642926	82	98.2007323182188	142.287408231059	180	234	127217	70.8182031358592	0.196051575906051	127217	7	37	5580	0.0466972960759208	5025000	4875000	5999	0.0502037776271413	5251250	4901250	2
20211126 013105	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	225	TRUE	0.159621903926018	0.710469457459985	0.588027226703707	479	22.6547329642926	82	98.2007323182188	142.287408231059	180	234	464371	70.8182031358592	0.196051575906051	464371	8	37	5841	0.0488815244407622	5248750	4898750	6228	0.0521202078782858	5265000	4865000	2
20211126 013118	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	225	TRUE	0.159621903926018	0.710469457459985	0.588027226703707	479	22.6547329642926	82	98.2007323182188	142.287408231059	180	234	645137	70.8182031358592	0.196051575906051	645137	9	21	3786	0.0316838643267807	5017500	5167500	5512	0.0461282250843146	5260000	5010000	2
20211126 013130	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	225	TRUE	0.159621903926018	0.710469457459985	0.588027226703707	479	22.6547329642926	82	98.2007323182188	142.287408231059	180	234	480803	70.8182031358592	0.196051575906051	480803	10	20	5681	0.047542533872277	5048750	4998750	6571	0.0549906689094759	5186250	4686250	2
20211126 013212	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	216	34.3245127459522	58.2604954985436	532	214	378821	59.9724111352116	0.530324685355707	378821	1	60	4808	0.0402366665829798	5640000	5140000	4808	0.0402366665829798	5640000	5140000	3
20211126 013232	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	216	34.3245127459522	58.2604954985436	532	214	964333	59.9724111352116	0.530324685355707	964333	2	39	4600	0.038495978843949	5900000	5600000	4749	0.0397429138108508	5763750	5513750	3
20211126 013254	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	216	34.3245127459522	58.2604954985436	532	214	187049	59.9724111352116	0.530324685355707	187049	3	45	5072	0.0424460010209803	5610000	5560000	5198	0.0435004560936624	5602500	5552500	3
20211126 013317	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	216	34.3245127459522	58.2604954985436	532	214	205151	59.9724111352116	0.530324685355707	205151	4	65	5227	0.0437431481342003	5866250	5716250	5443	0.0455507854016553	5746250	5646250	3
20211126 013340	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	216	34.3245127459522	58.2604954985436	532	214	813697	59.9724111352116	0.530324685355707	813697	5	67	5270	0.0441030018494807	5662500	5812500	5270	0.0441030018494807	5812500	5612500	3
20211126 013401	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	216	34.3245127459522	58.2604954985436	532	214	344719	59.9724111352116	0.530324685355707	344719	6	45	4972	0.0416091319156771	5535000	5435000	5382	0.0450402952474203	5672500	5672500	3
20211126 013422	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	216	34.3245127459522	58.2604954985436	532	214	127217	59.9724111352116	0.530324685355707	127217	7	53	5137	0.0429899659394274	5928750	5578750	5337	0.0446637041500339	5778750	5678750	3
20211126 013444	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	216	34.3245127459522	58.2604954985436	532	214	464371	59.9724111352116	0.530324685355707	464371	8	64	4524	0.0378599583239186	5795000	5495000	5198	0.0435004560936624	5802500	5652500	3
20211126 013508	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	216	34.3245127459522	58.2604954985436	532	214	645137	59.9724111352116	0.530324685355707	645137	9	65	5837	0.0488480496765501	5503750	5253750	5355	0.0448143405889885	5806250	5656250	3
20211126 013532	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	236	TRUE	0.108991925287177	0.619968119313708	0.838499603601522	818	19.0940353937913	216	34.3245127459522	58.2604954985436	532	214	480803	59.9724111352116	0.530324685355707	480803	10	67	4828	0.0404040404040404	5715000	5715000	5109	0.0427556425899425	5813750	5663750	3
20211126 013617	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	235	TRUE	0.111505493398407	0.297934837959474	0.273365641402779	328	20.3556205474888	90	76.9631864351686	86.2305965926498	125	886	378821	74.4859306421131	0.516056260660232	378821	1	56	6144	0.051417237829831	4520000	4220000	6144	0.051417237829831	4520000	4220000	4
20211126 013644	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	235	TRUE	0.111505493398407	0.297934837959474	0.273365641402779	328	20.3556205474888	90	76.9631864351686	86.2305965926498	125	886	964333	74.4859306421131	0.516056260660232	964333	2	47	7305	0.0611332881424016	4568750	3818750	6751	0.0564970332990217	4611250	3761250	4
20211126 013711	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	235	TRUE	0.111505493398407	0.297934837959474	0.273365641402779	328	20.3556205474888	90	76.9631864351686	86.2305965926498	125	886	187049	74.4859306421131	0.516056260660232	187049	3	49	5103	0.0427054304436243	4671250	4871250	6370	0.0533085620078164	4637500	4087500	4
20211126 013738	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	235	TRUE	0.111505493398407	0.297934837959474	0.273365641402779	328	20.3556205474888	90	76.9631864351686	86.2305965926498	125	886	205151	74.4859306421131	0.516056260660232	205151	4	49	5618	0.047015306335936	4627500	4127500	6369	0.0533001933167633	4688750	4038750	4
20211126 013806	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	235	TRUE	0.111505493398407	0.297934837959474	0.273365641402779	328	20.3556205474888	90	76.9631864351686	86.2305965926498	125	886	813697	74.4859306421131	0.516056260660232	813697	5	60	6286	0.0526055919593616	4642500	4092500	6110	0.0511327023340279	4762500	4112500	4
20211126 013833	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	235	TRUE	0.111505493398407	0.297934837959474	0.273365641402779	328	20.3556205474888	90	76.9631864351686	86.2305965926498	125	886	344719	74.4859306421131	0.516056260660232	344719	6	45	6309	0.0527980718535814	4713750	3713750	6683	0.0559279623074155	4896250	3996250	4
20211126 013900	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	235	TRUE	0.111505493398407	0.297934837959474	0.273365641402779	328	20.3556205474888	90	76.9631864351686	86.2305965926498	125	886	127217	74.4859306421131	0.516056260660232	127217	7	50	5868	0.0491074790991941	4065000	4215000	6676	0.0558693814700443	4855000	4055000	4
20211126 013927	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	235	TRUE	0.111505493398407	0.297934837959474	0.273365641402779	328	20.3556205474888	90	76.9631864351686	86.2305965926498	125	886	464371	74.4859306421131	0.516056260660232	464371	8	49	5969	0.0499527168955504	4488750	4088750	6729	0.056312922095855	4788750	4088750	4
20211126 013950	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	235	TRUE	0.111505493398407	0.297934837959474	0.273365641402779	328	20.3556205474888	90	76.9631864351686	86.2305965926498	125	886	645137	74.4859306421131	0.516056260660232	645137	9	6	3877	0.0324454152126066	4703750	4503750	6424	0.0537604713246801	4520000	4120000	4
20211126 014017	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	235	TRUE	0.111505493398407	0.297934837959474	0.273365641402779	328	20.3556205474888	90	76.9631864351686	86.2305965926498	125	886	480803	74.4859306421131	0.516056260660232	480803	10	40	5765	0.0482455039207318	4843750	4443750	6359	0.053216506406233	4601250	4201250	4
20211126 014108	binary	custom	TRUE	TRUE	FALSE	-100	-1	9999	230	TRUE	0.133237513432046	0.44483792951447	0.492708388855681	434	37.1041934771347	181	73.1088680448011	63.825186380418	8218	7	378821	32.2289680661634	0.267486313695437	378821	1	48	5261	0.0440276836300034	4073750	3923750	5261	0.0440276836300034	4073750	3923750	5
