Feature	Gain	Cover	Frequency	pos
ctrx_quarter	0.165385994701708	0.00726062022060449	0.00372961204896677	1
mcaja_ahorro	0.0668014330760737	0.00267556559792735	0.00249830472179592	2
mtarjeta_visa_consumo	0.0569513157682404	0.00334360606731693	0.00215924908098076	3
cpayroll_trx	0.0323182049744951	0.00999610769318264	0.00328348620578893	4
ctrx_quarter_avg3	0.0318752540919093	0.00262536907237747	0.00251614975552304	5
ctarjeta_visa_transacciones	0.0250754173154352	0.00348369830922441	0.00258752989043149	6
mcaja_ahorro_avg3	0.0223636805458842	0.00223079673581592	0.00249830472179592	7
mcuentas_saldo	0.0212320771608262	0.0079776195335498	0.00790534994111139	8
mdescubierto_preacordado_tend	0.0204226213866135	0.00528169461715261	0.0019451086762554	9
mcuentas_saldo_avg3	0.0171767736170336	0.00140977937921455	0.00203433384489097	10
mpayroll	0.0153161642518756	0.00633009400605409	0.00278382526142974	11
mprestamos_personales	0.0127066876918156	0.00698665602817317	0.00371176701523966	12
mv_status01	0.0123716919861085	0.0032639936247862	0.000892251686355687	13
cproductos_tend	0.0114839404451804	0.00316635527957836	0.00140975766444199	14
mpasivos_margen	0.00966202931105909	0.00191271398148216	0.00230200935079767	15
cpayroll_trx_avg3	0.00867920817531457	0.00123578125467434	0.000981476854991256	16
mpasivos_margen_avg3	0.00786109694110789	0.00106241696298609	0.00198079874370963	17
mcuentas_saldo_tend	0.0071462947336436	0.00587640935500535	0.00565687569149506	18
ccomisiones_mantenimiento_tend	0.00709209315528376	0.00391437976177533	0.00217709411470788	19
cproductos_delta1	0.00707492088415655	0.00294505424725073	0.00119561725971662	20
mprestamos_personales_tend	0.00630739592646823	0.00612173492966589	0.0028552053963382	21
foto_mes	0.00601820242354681	0.00680618483818979	0.00719154859202684	22
mv_status04	0.00585030117819418	0.000124765252649678	0.000107070202362682	23
mautoservicio	0.0057821228152099	0.00303914085124384	0.00171312323780292	24
mv_msaldopesos	0.00495931717693742	0.000773990374851903	0.000803026517720119	25
mv_status01_avg3	0.00482264632919561	0.00163962387112154	0.000463970876904957	26
ctarjeta_visa_tend	0.00410880801983086	0.000517858898917085	0.000196295370998251	27
mprestamos_personales_lag1	0.00410333802994396	0.000877809159677268	0.000910096720082801	28
mv_msaldototal	0.00392914100953555	0.000852907119407992	0.000785181483993005	29
