fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia
20210902 205237	-0.220757412287639	6455	711	11	5	1996250
20210902 205327	-0.790189657073643	5953	792	19	5	1996250
20210902 205402	-0.68129061954678	5220	1518	5	5	2430000
20210902 205508	-0.556905417401867	4399	1138	13	5	2742500
20210902 205539	-0.376182182945195	2020	286	4	5	3561250
20210902 205628	-0.0879588147116009	4942	884	9	5	2583750
20210902 205737	-0.140809747559251	2525	1104	17	5	3292500
20210902 205910	-0.462742007289489	3250	473	16	5	3701250
20210902 205951	-0.814367907302221	7806	515	7	5	2368750
20210902 210052	-0.44986617599352	3999	1797	20	5	2492500
20210902 210116	-0.306260776902491	6503	1909	3	5	2368750
20210902 210211	-0.90039717242762	463	216	9	5	2765000
20210902 210235	0.0900239064023483	7368	58	12	5	0
20210902 210340	-0.446021981614952	2918	833	16	5	3436250
20210902 210443	-0.662448718538508	5976	110	13	5	1660000
20210902 210513	-0.0429030167870222	7214	1210	4	5	2368750
20210902 210644	-0.325711588499005	2471	454	14	5	4440000
20210902 210817	-0.170080394896704	2019	381	15	5	4881250
20210902 210942	-0.109259064889825	1736	284	19	5	4537500
20210902 211014	0.0703621344017817	1823	389	14	5	0
20210902 211146	-0.166621035170821	424	207	20	5	2191250
20210902 211303	-0.139469973895303	1814	223	15	5	4038750
20210902 211416	-0.197190548589834	2345	389	15	5	4711250
20210902 211522	-0.175149689502988	3787	618	15	5	2981250
20210902 211636	-0.186084632256889	2002	441	19	5	4472500
20210902 211706	-0.294973780235089	6019	1880	4	5	1991250
20210902 211758	-0.179948580222495	2064	162	8	5	4072500
20210902 211918	-0.18181757312642	2014	59	15	5	2185000
20210902 212024	-0.125989740238907	2366	349	12	5	4557500
20210902 212138	-0.122177260124672	1944	409	17	5	4408750
20210902 212226	-0.178623223011147	2003	369	7	5	4636250
20210902 212356	-0.159438005968793	3565	326	15	5	3280000
20210902 212515	-0.178316891393863	1021	407	13	5	4425000
20210902 212607	-0.0968967897729319	1731	259	7	5	4407500
20210902 212736	-0.140332536731081	1585	374	19	5	4655000
20210902 212858	-0.187453710799989	1859	324	12	5	4705000
20210902 213023	-0.264477754187641	1814	389	16	5	4436250
20210902 213144	-0.376808228408376	1686	592	14	5	4061250
20210902 213222	-0.310512744319347	1962	973	4	5	3007500
20210902 213257	-0.615084169872306	1652	542	3	5	3390000
20210902 213330	-0.572464492402479	7992	2000	3	5	2368750
20210902 213449	-0.198107312855072	1653	824	20	5	3561250
20210902 213558	-0.392785272924382	7992	1359	20	5	2368750
20210902 213727	-0.720398637966542	900	450	20	5	3665000
20210902 213856	-0.163580758409765	1782	367	13	5	4737500
20210902 214025	-0.169469895849653	2116	353	20	5	4676250
20210902 214152	-0.989862473907292	1068	528	20	5	3791250
20210902 214254	-0.161653922208718	2183	286	9	5	4402500
20210902 214323	-0.999479711647728	1472	733	3	5	3265000
20210902 214434	-0.999418593946335	2256	1128	20	5	3362500
20210902 214541	-0.998843334994938	3443	1717	14	5	2875000
20210902 214656	-0.563428287791584	1261	623	20	5	3770000
20210902 214810	-0.35534414625185	1980	385	20	5	4588750
20210902 214837	-0.999706053845101	7989	1279	3	5	2368750
20210902 214950	-0.999982257113231	6301	364	20	5	1996250
20210902 215108	-0.870494249195436	1260	624	16	5	3770000
20210902 215141	-0.848051695900833	2212	1104	3	5	3108750
20210902 215242	-0.870710712338678	7977	2000	18	5	2368750
20210902 215403	-0.528682307214854	726	360	15	5	3882500
20210902 215430	0.0998721710842939	7969	1999	20	5	0
20210902 215537	-0.179301277375799	1990	367	15	5	4858750
20210902 215638	-0.335998599851997	1227	389	12	5	3776250
20210902 215743	-0.32441749348173	2419	602	20	5	4363750
20210902 215840	-0.372948567948748	5151	472	20	5	2533750
20210902 215900	-0.182681462866085	1937	307	3	5	3390000
20210902 215954	-0.999905819552751	1835	911	12	5	3563750
20210902 220047	-0.193176860724027	1955	489	11	5	4408750
20210902 220130	-0.72531594015219	1564	782	8	5	3688750
