fecha	cp	minsplit	minbucket	maxdepth	feature_fraction	num_trees	xval_folds	ganancia
20210912 193017	-0.892910897105079	4437	550	8	0.716791016515344	53	5	2915000
20210912 194740	-0.432635918220815	5547	942	11	0.432940381377315	58	5	1943750
20210912 201903	-0.650422581402624	5160	1888	18	0.62506493087858	72	5	2761250
20210912 203335	-0.598747942783909	1971	589	6	0.354793362303947	64	5	3126250
20210912 205255	0.0331153728077578	2773	283	9	0.509539845616867	95	5	0
20210912 210240	-0.182810711171866	6230	1269	11	0.695633311973264	22	5	2563750
20210912 212044	-0.988094751959822	3110	1229	10	0.298346037332279	92	5	2880000
20210912 213122	-0.368374666311623	4823	1411	19	0.176921780904134	85	5	2697500
20210912 220553	-0.697149202693254	5861	770	13	0.815846665374314	61	5	1386250
20210912 220617	0.0743853243281289	2580	674	17	0.655595454907355	2	5	0
20210912 222424	-0.833641111947751	6366	396	17	0.236970330619564	100	5	2038750
20210912 224128	-0.267785988769416	3909	74	5	0.86941018740957	49	5	2477500
20210912 224300	-0.0832032866572262	3546	1562	13	0.117367290006951	18	5	353750
20210912 225243	-0.799764174216155	4034	1938	7	0.784500406612642	24	5	2352500
20210912 225726	-0.914116088485268	7505	1665	18	0.212611594237387	35	5	706250
20210912 230413	-0.000934669169752489	7258	1488	3	0.305182833985115	75	5	10000
20210912 230659	-0.7660525896732	6988	97	4	0.158074989852806	46	5	1727500
20210912 232624	-0.353905650028416	7961	241	20	0.856566174700856	27	5	2432500
20210912 233503	-0.65192724406952	6283	1749	19	0.616041157332559	22	5	2403750
20210912 233518	-0.825425305617197	6798	1066	9	0.210390233776222	2	5	2621250
20210913 000958	-0.435358174641927	1531	230	16	0.359112879509727	83	5	3346250
20210913 004053	-0.20613642927104	3388	342	13	0.826893682001779	39	5	4531250
20210913 005421	-0.508233356561201	4229	1518	3	0.472005180610965	98	5	2922500
