Feature	Gain	Cover	Frequency
ctrx_quarter	0.154895742500599	0.0240661971746637	0.023374060863626
cpayroll_trx	0.0716637220740341	0.0186657277687996	0.00607118463990286
mtarjeta_visa_consumo	0.0623803257611292	0.0146433363332781	0.0160127494877438
mcuentas_saldo	0.0470838162343407	0.0257898657586298	0.0336950747514609
mcaja_ahorro	0.0439342725592399	0.0196306938748242	0.0257266449115884
ctarjeta_visa_transacciones	0.0245776084192471	0.0118605420780873	0.0166198679517341
mpasivos_margen	0.0243848423784198	0.0142720784491981	0.0226910525916369
mprestamos_personales	0.02300332865216	0.0229776429235841	0.00933444638385065
mrentabilidad_annual	0.0214335290008432	0.0191124793733895	0.0254230856795932
mpayroll	0.0213663372327162	0.0295650055985842	0.0143431737117705
Visa_mpagominimo	0.0200015037814665	0.0179499751636658	0.0263337633755787
mactivos_margen	0.0176424128776931	0.0182446355077762	0.0200349093116794
cliente_edad	0.0176394624173839	0.0289136351956271	0.0324808378234803
Master_fechaalta	0.0171943334616743	0.0187935984162834	0.0314942703194961
Visa_fechaalta	0.0155730487889645	0.017420082371249	0.0278515595355544
Visa_Fvencimiento	0.0151357377479959	0.0192808683201132	0.0258784245275859
mcuenta_corriente	0.0148333413906545	0.0182293762441477	0.0198831296956819
numero_de_cliente	0.0143040249038041	0.0187281223032596	0.0248918570236017
chomebanking_transacciones	0.0139682054876315	0.0156616940082218	0.0235258404796236
Master_Fvencimiento	0.013069056540658	0.0166389903919472	0.0269408818395689
ctarjeta_debito_transacciones	0.0127292832373098	0.0147162439058613	0.0135083858237839
mrentabilidad	0.012663072990745	0.0164867346484961	0.0236017302876224
cliente_antiguedad	0.0118452656237511	0.012291703471383	0.0222357137436442
mtransferencias_recibidas	0.0115945909092231	0.0191406218153099	0.0190483418076952
Master_mfinanciacion_limite	0.0114909505878637	0.0134595206792609	0.0209455870076649
Visa_status	0.0113417168704149	0.0145114229717941	0.00326326174394779
Master_status	0.0102912979841671	0.0072823805171022	0.00189724519996964
cproductos	0.0102872556742522	0.0110500789888846	0.0124459285118009
mcomisiones_mantenimiento	0.00970443890704522	0.00840275726887607	0.00880321772785915
Visa_mpagospesos	0.00933323965593329	0.0175083780194263	0.0201107991196782
Visa_mconsumospesos	0.00931674542689786	0.0179616475094803	0.019124231615694
Visa_mconsumosdolares	0.00874914098274081	0.0091873707691477	0.0145708431357669
Visa_msaldopesos	0.00853701230661788	0.0113622062355431	0.0163163087197389
mcaja_ahorro_dolares	0.00819170724160823	0.0114792626230762	0.0153297412157547
Master_mlimitecompra	0.00781268520427803	0.00929113376182112	0.0126735979357972
Visa_cconsumos	0.00780647179071938	0.0134428940270736	0.0165439781437353
mcomisiones	0.0074623333250392	0.00715985457533345	0.0144190635197693
Visa_msaldototal	0.00740399773344444	0.00977547071627812	0.0141913940957729
mtransferencias_emitidas	0.00732439433756686	0.0196837009895688	0.0209455870076649
Visa_mfinanciacion_limite	0.00728985825370631	0.0067745522235476	0.0126735979357972
ccomisiones_mantenimiento	0.00703183662737558	0.00969227205849722	0.004249829247932
mcuenta_debitos_automaticos	0.00686800903753916	0.0103787486764125	0.00910677695985429
mcomisiones_otras	0.00669463757896072	0.00670697746634418	0.0129012673597936
Visa_mlimitecompra	0.00651644024688024	0.00891374244645147	0.011687030431813
mautoservicio	0.00617804135702685	0.0102383555241406	0.0163163087197389
tcallcenter	0.0061745332732636	0.00331807733294135	0.00235258404796236
cprestamos_personales	0.00544972373439403	0.00655857220980609	0.00311148212795022
thomebanking	0.00544483703728257	0.00363839305717298	0.00440160886392957
ccomisiones_otras	0.00495695009942345	0.00581527762468421	0.00903088715185551
Master_msaldopesos	0.00441532932999602	0.00900641571973985	0.00652652348789558
Visa_mconsumototal	0.00439324293968441	0.00656010011789149	0.00781665022387493
mttarjeta_visa_debitos_automaticos	0.00431225369551958	0.008492408415277	0.00895499734385672
mpagomiscuentas	0.00431063054614161	0.0131253546961333	0.00895499734385672
ctransferencias_emitidas	0.00399412541120682	0.0107038007175366	0.0111558017758215
ctarjeta_visa_debitos_automaticos	0.00394541758857319	0.0101122981527892	0.00667830310389315
ctransferencias_recibidas	0.0038476654858673	0.0056742582480868	0.00774076041587615
mtarjeta_master_consumo	0.00375774573431149	0.00625036084690467	0.00333915155194657
Master_fultimo_cierre	0.00351240114758422	0.0081986933528226	0.00493283751992107
ccallcenter_transacciones	0.00322464632727138	0.00442427882332116	0.00204902481596722
Master_msaldototal	0.00319704490598909	0.00781700566296639	0.00561584579191015
mplazo_fijo_dolares	0.00305709466325562	0.0150603323737925	0.003187371935949
Visa_fultimo_cierre	0.00290929686053706	0.0144453245978898	0.00561584579191015
Master_mpagospesos	0.00286967858294306	0.0125821784174695	0.00629885406389922
ccaja_ahorro	0.00276075583823212	0.00949855075242775	0.00326326174394779
ctarjeta_debito	0.00269032243014656	0.00310319519349208	0.00470516809592472
ccajas_otras	0.00241344658148082	0.0117629481877094	0.00197313500796843
Master_mconsumospesos	0.00239395359331054	0.00589415810903051	0.0047810579039235
ccuenta_debitos_automaticos	0.00227981829941009	0.00434686085021613	0.00402215982393565
Master_cconsumos	0.00225102728169237	0.00781808173831058	0.00417393943993322
matm	0.00211490176654424	0.00447513973254506	0.00500872732791986
ctarjeta_visa	0.00208399949946892	0.000210155731169554	0.000303559231995143
cpagomiscuentas	0.00205252127421931	0.00305090942575535	0.00409804963193443
mextraccion_autoservicio	0.00203417574713687	0.00604191930574013	0.00440160886392957
ccaja_seguridad	0.00190018302322434	0.00795886528992464	0.00235258404796236
Visa_mpagosdolares	0.00182558890851117	0.0100053247695862	0.00379449039993929
mdescubierto_preacordado	0.00169856635621901	0.00717739876506106	0.00250436366395993
tpaquete4	0.00150164047375337	0.0067820926778471	0.00182135539197086
Visa_mpagado	0.00146097962311368	0.00704545171429365	0.00242847385596114
ctarjeta_master_transacciones	0.00144737256437659	0.00101717855002696	0.00144190635197693
cextraccion_autoservicio	0.00124298122665959	0.00177218709713686	0.0026561432799575
catm_trx	0.00117251647908454	0.0036915210569931	0.00311148212795022
Master_mconsumototal	0.00114731870940177	0.00216236052294852	0.00220080443196479
Visa_msaldodolares	0.0010128523725476	0.00475373821539456	0.00273203308795629
cinversion2	0.000965801603934187	0.00519702775069104	0.000910677695985429
ccajas_extracciones	0.000919038214565752	0.00179511760875306	0.00166957577597329
ccajas_consultas	0.000854257350822773	0.00633533710981216	0.0015936859679745
matm_other	0.000642723199973853	0.00274080948126458	0.002124914623966
