fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia
20210918 011430	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	429	TRUE	0.0387414134369786	0.393466110398178	5524	815	0.0468886453707789	8605000
20210918 011515	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	216	TRUE	0.0349293962238137	0.67780974231282	8236	1834	0.0455864222334515	8252500
20210918 011630	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	538	TRUE	0.0525326763525208	0.719707009034697	7870	2303	0.0489939711145781	8311250
20210918 013015	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	2205	TRUE	0.00304454286178327	0.363299891165778	13641	708	0.045460554952234	7988750
20210918 013104	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	111	TRUE	0.0467315761798904	0.516365074741188	12269	1040	0.0468566164828293	7970000
20210918 013159	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	472	TRUE	0.0662194337346578	0.0430843785239849	9828	298	0.045872242644002	8037500
20210918 013223	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	58	TRUE	0.0847188363733442	0.765519940070226	3041	2881	0.0450260981433265	8375000
20210918 013322	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	192	TRUE	0.0602467584222458	0.568598312963528	4141	1581	0.043579668192546	8550000
20210918 013342	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	81	TRUE	0.0903925468900401	0.849023612941906	17828	1977	0.0473792631202944	8185000
20210918 013420	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	275	TRUE	0.0746436896001211	0.0789278833768331	11104	2163	0.0487692635410834	8e+06
20210918 013826	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	888	TRUE	0.0106827204109314	0.234525155934796	15661	2574	0.0481261990719789	7978750
20210918 013947	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	169	TRUE	0.0297767237969882	0.90760958922829	1649	539	0.0432021104519285	8568750
20210918 014231	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	793	TRUE	0.0140133255644883	0.151358379131969	6117	1426	0.0467899461265113	8382500
20210918 014339	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	209	TRUE	0.0797712359200632	0.464957873481384	16826	49	0.0477284237641479	7968750
20210918 014441	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	192	TRUE	0.0247446285167136	0.94166366507599	12993	2701	0.0460762730132206	7881250
20210918 014550	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	143	TRUE	0.0968361273181207	0.295857041369221	714	1211	0.0336641029125533	7985000
20210918 014757	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	380	TRUE	0.0393914511581396	0.712560344094541	4042	621	0.0439616477580373	8626250
20210918 014909	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	180	TRUE	0.0391496694811163	0.458778802314737	3299	2285	0.0424350232464004	8602500
20210918 015047	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	292	TRUE	0.0373020082434469	0.400853208387592	3481	838	0.0445330148254938	8422500
20210918 015220	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	351	TRUE	0.0362094956484705	0.6857254244441	4835	2488	0.0447173005900507	8562500
20210918 015438	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	410	TRUE	0.0375749254223618	0.465178716789716	5454	2304	0.0453122586431925	8633750
20210918 015709	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	439	TRUE	0.0283155699847785	0.74005182288123	3222	1981	0.0445358172614524	8827500
20210918 015943	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	403	TRUE	0.0141173511393828	0.776219761003451	2933	1982	0.0433244007804934	8676250
20210918 020141	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	387	TRUE	0.0334778838751411	0.733475004428266	2605	2254	0.0454820690631403	8502500
20210918 020349	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	428	TRUE	0.0241867648891568	0.801260906620389	3395	2581	0.0443875303626555	8652500
20210918 020509	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	347	TRUE	0.0255037767172932	0.669528338729644	3224	1471	0.0446363759774274	8752500
20210918 020622	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	317	TRUE	0.0373825613653629	0.755448311637411	3196	1280	0.0445164019686801	8740000
20210918 020752	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	422	TRUE	0.0282553370717909	0.843019131121444	3708	1838	0.0457168003040864	8815000
20210918 020921	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	349	TRUE	0.0285789211138661	0.724409725680206	3539	1914	0.0447895864144032	8685000
20210918 021044	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	345	TRUE	0.0294027452623904	0.993608689741125	3154	1932	0.0452847923497656	8598750
20210918 021144	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	236	TRUE	0.0299818149238925	0.87717472697536	3984	1561	0.0435572583278736	8537500
20210918 021332	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	506	TRUE	0.0213095421718105	0.850032076071848	3217	1357	0.044776866607116	8610000
20210918 021507	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	322	TRUE	0.0277464750863153	0.826645505964199	3185	1417	0.0437480145969584	8906250
20210918 021644	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	147	TRUE	0.0274524220494324	0.789249551197373	1088	2384	0.0426092728259931	8478750
20210918 021802	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	298	TRUE	0.0282785891699795	0.777707771282204	2204	1424	0.0445611784640555	8715000
20210918 021920	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	410	TRUE	0.0359403679291553	0.819053032857406	3929	1414	0.0464129857618225	8467500
20210918 022023	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	217	TRUE	0.0262140696742459	0.852978741191405	3465	1449	0.0444094004000461	8740000
20210918 022206	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	482	TRUE	0.0278120731576237	0.764234450468346	3099	1094	0.0433348734642677	8666250
20210918 022309	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	220	TRUE	0.0276476418530605	0.827167584543499	3026	1817	0.0429467712669576	8731250
20210918 022350	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	146	TRUE	0.0787944150173951	0.684990910315548	1902	1709	0.0449896785727951	8548750
20210918 022437	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	209	TRUE	0.0977639563525749	0.706836725896742	7114	2568	0.0469439747451026	8402500
20210918 022618	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	571	TRUE	0.03483841865138	0.374852055980664	14277	657	0.0511796995252527	8142500
20210918 022651	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	147	TRUE	0.0717748387925592	0.971303452706007	17690	1692	0.0494975913930675	8242500
20210918 022838	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	656	TRUE	0.0291093339401687	0.742749998627861	13156	2607	0.049080003396791	8225000
20210918 022938	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	595	TRUE	0.032160262020767	0.0213243164952686	17235	820	0.0437043177368904	7001250
20210918 023029	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	307	TRUE	0.0995912509098311	0.622836344588999	8346	898	0.0460988525695853	8406250
20210918 023108	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	126	TRUE	0.0862515788818376	0.158751727033568	9908	2097	0.05042000297235	8265000
20210918 023207	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	160	TRUE	0.0786344073870895	0.42823207463441	5050	2713	0.0463457012962971	8577500
20210918 023258	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	246	TRUE	0.0850294051441544	0.302923452310389	5946	2266	0.050269023245003	8035000
20210918 023433	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	430	TRUE	0.0124578512857337	0.648836887286446	9800	594	0.0462820586985966	8137500
20210918 023504	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	97	TRUE	0.099905299998589	0.479170202443795	7241	287	0.0476092456388273	8112500
20210918 023541	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	100	TRUE	0.0547298454858002	0.960550371384281	8688	2352	0.0474146987379678	8288750
20210918 024045	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1478	TRUE	0.0127782842433281	0.314032491639027	6433	2129	0.0459083610291442	8540000
20210918 024135	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	187	TRUE	0.0852174059621211	0.59011467821787	5089	2111	0.045780922750227	8440000
